"","GUID","Population","Collector_ID","Sex","Generation","Line_ID","Mother_Line","Father_Line","Parental_ID","Sample_ID","Total_Length_mm","Tail_Length_mm","Hindfoot_Length_mm","Ear_Length_mm","Body_Weight_g","Body_Length_mm","Age_days","Notes"
"203","NA","New York","MJS147","Female","N1","83x80",83,NA,NA,"1",169,79,18,14,16.4,90,"404",NA
"204","NA","New York","MJS148","Female","N1","83x80",83,NA,NA,"9",165,74,19,16,17.8,91,"404",NA
"205","NA","New York","MJS150","Female","N1","9x11",9,11,NA,"5",177,82,18,15,24,95,"332",NA
"206","MVZ:Mamm:236601","New York","MJS154","Female","N1","66x67",66,67,NA,"7",166,79,19,15,22.2,87,"165",NA
"207","MVZ:Mamm:236602","New York","MJS155","Female","N1","66x67",66,67,NA,"9",172,80,19,15,20.6,92,"165",NA
"208","NA","New York","MJS163","Female","N1","92x91",92,91,NA,"1",170,81,19,15,25.6,89,"502",NA
"209","NA","New York","MJS164","Female","N1","66x67",66,67,NA,"1",163,75,19,15,18.3,88,"440",NA
"210","MVZ:Mamm:236604","New York","MJS165","Female","N1","84x89",84,89,NA,"7",148,76,18,14,15.2,72,"211",NA
"211","MVZ:Mamm:236605","New York","MJS166","Female","N1","84x89",84,89,NA,"11",167,82,20,15,18.3,85,"211",NA
"212","MVZ:Mamm:236607","New York","MJS168","Female","N1","84x89",84,89,NA,"1",163,77,17,15,22,86,"261",NA
"213","MVZ:Mamm:236609","New York","MJS170","Female","N1","84x89",84,89,NA,NA,165,77,17,14,19.3,88,"440",NA
"214","MVZ:Mamm:236610","New York","MJS171","Female","N1","84x89",84,89,NA,NA,187,86,20,15,23.9,101,"440",NA
"215","MVZ:Mamm:236611","New York","MJS172","Female","N1","84x89",84,89,NA,NA,182,84,19,15,17.9,98,"440",NA
"216","MVZ:Mamm:236612","New York","MJS173","Female","N1","84x89",84,89,NA,NA,183,84,20,15,19.8,99,"440",NA
"217","MVZ:Mamm:236614","New York","MJS175","Female","N1","76x56",76,56,NA,"1",174,84,18,14,20.3,90,"222",NA
"218","MVZ:Mamm:236615","New York","MJS176","Female","N1","82x81",82,81,NA,"3",186,82,20,17,26.5,104,"514",NA
"219","MVZ:Mamm:236617","New York","MJS178","Female","N1","82x81",82,81,NA,"5",195,85,21,16,28.9,110,"452",NA
"220","MVZ:Mamm:236620","New York","MJS181","Female","N1","82x81",82,81,NA,"7",183,80,20,16,28.4,103,"452",NA
"221","MVZ:Mamm:236621","New York","MJS182","Female","N1","34x38",34,38,NA,"3",179,80,19,20,21.9,99,"271",NA
"222","MVZ:Mamm:236623","New York","MJS184","Female","N1","34x38",34,38,NA,"1",171,76,18,15,26.5,95,"517",NA
"223","MVZ:Mamm:236625","New York","MJS186","Female","N1","34x38",34,38,NA,"1",172,75,20,15,22.9,97,"271",NA
"224","MVZ:Mamm:236627","New York","MJS188","Female","N1","34x38",34,38,NA,NA,179,75,20,14,24.6,104,"271",NA
"225","MVZ:Mamm:236628","New York","MJS189","Female","N1","19x13",19,13,NA,"1",189,90,19,15,24.4,99,"517",NA
"226","MVZ:Mamm:236629","New York","MJS190","Female","N1","76x56",76,56,NA,"11",172,81,19,15,14.3,91,"273",NA
"227","NA","New York","MJS192","Female","N1","76x56",76,56,NA,NA,158,75,19,15,16.8,83,"273",NA
"228","NA","New York","MJS193","Female","N1","76x56",76,56,NA,NA,160,77,19,15,19.6,83,"273",NA
"229","NA","New York","MJS194","Female","N1","83x80",83,NA,NA,"3",157,75,18,15,13,82,"515",NA
"230","NA","New York","MJS196","Female","N1","76x56",76,56,NA,NA,153,70,19,15,18.6,83,"98",NA
"231","NA","New York","MJS197","Female","N1","76x56",76,56,NA,NA,151,70,18,14,17.6,81,"98",NA
"232","NA","New York","MJS198","Female","N1","76x56",76,56,NA,NA,152,72,19,15,16.9,80,"98",NA
"233","NA","New York","MJS201","Female","N1","76x56",76,56,NA,"3",166,77,18,15,19.5,89,"NA",NA
"234","NA","New York","MJS205","Female","N1","92x91",92,91,NA,"5",185,82,19,15,19.9,103,"530",NA
"235","NA","New York","MJS209","Female","N1","92x91",92,91,NA,"3",187,86,17,16,27.5,101,"530",NA
"236","NA","New York","MJS211","Female","N1","84x89",84,89,NA,"5.0999999999999996",176,85,19,15,22,91,"289",NA
"237","NA","New York","MJS212","Female","N1","66x67",66,67,NA,"5",180,86,20,16,19.7,94,"292",NA
"238","NA","New York","MJS213","Female","N1","66x67",66,67,NA,"3",167,85,16,15,17.5,82,"468",NA
"239","NA","New York","MJS214","Female","N1","9x11",9,11,NA,"7",179,82,19,16,26.5,97,"473",NA
"240","NA","New York","MJS215","Female","N1","84x89",84,89,NA,"9",175,85,17,15,NA,90,"253","pregnant"
"241","NA","New York","MJS216","Female","N1","76x56",76,56,NA,"7",180,81,19,16,19.2,99,"257",NA
"242","MVZ:Mamm:236631","New York","MJS217","Female","N1","76x56",76,56,NA,"5",162,73,17,14,14.4,89,"257",NA
"243","MVZ:Mamm:236634","New York","MJS221","Female","N1","76x56",76,56,NA,"9",162,76,18.5,15,20.2,86,"257",NA
"244","MVZ:Mamm:236635","New York","MJS222","Female","N1","76x56",76,56,NA,"11",166,78,19,15,21.5,88,"257",NA
"245","MVZ:Mamm:236636","New York","MJS223","Female","N1","92x91",92,91,NA,"9",191,85,18,16,NA,106,"308","pregnant"
"246","MVZ:Mamm:236660","New York","MJS224","Female","N1","83x80",83,NA,NA,"9",169,79,18,15,20,90,"472",NA
"247","MVZ:Mamm:236638","New York","MJS321","Female","N1","19x13",19,13,NA,"3",177,85,18,15,21.3,92,"606",NA
"248","MVZ:Mamm:236639","New York","MJS322","Female","N1","34x38",34,38,NA,"3",165,75,18,16,24.9,90,"606",NA
"249","NA","New York","MJS323","Female","N1","84x89",84,89,NA,"3",169,80,18,15,22.4,89,"357",NA
"250","MVZ:Mamm:236640","New York","MJS324","Female","N1","84x89",84,89,NA,"5",157,74,18,14,18.5,83,"307",NA
"251","MVZ:Mamm:236642","New York","MJS326","Female","N1","92x91",92,91,NA,"7",183,83,19,15,29.9,100,"363",NA
"252","MVZ:Mamm:236643","New York","MJS329","Female","N1","19x13",19,13,NA,"5",179,81,19,15,20.6,98,"607",NA
"253","MVZ:Mamm:236651","New York","MJS338","Female","N1","105x104",105,104,NA,NA,190,86,18,13,19.9,104,"565",NA
"254","MVZ:Mamm:236652","New York","MJS339","Female","N1","105x104",105,104,NA,NA,181,85,17,14,19.7,96,"389",NA
"255","MVZ:Mamm:236654","New York","MJS343","Female","N1","105x104",105,104,NA,NA,185,86,18,15,20.9,99,"565",NA
"256","MVZ:Mamm:236656","New York","MJS360","Female","N1","105x104",105,104,NA,NA,186,88,19,15,NA,98,"445","pregnant"
"257","MVZ:Mamm:236349","New York","DL141","Male","N1","9x11",9,11,NA,NA,153,78,19,13,18.7,75,"157",NA
"258","NA","New York","MJS101","Male","N1","82x81",82,81,NA,"8",179,82,18,15,32,97,"NA",NA
"259","NA","New York","MJS102","Male","N1","83x80",83,NA,NA,"8",165,71,18,16,16.7,94,"NA",NA
"260","NA","New York","MJS103","Male","N1","82x81",82,81,NA,"10",185,78,20,18,33.8,107,"NA",NA
"261","NA","New York","MJS104","Male","N1","44x42",44,NA,NA,"10",191,91,21,17,33.2,100,"NA",NA
"262","NA","New York","MJS105","Male","N1","9x11",9,11,NA,"22",165,80,16,15,20.2,85,"NA",NA
"263","NA","New York","MJS106","Male","N1","9x11",9,11,NA,"24",180,85,21,16,25.8,95,"NA",NA
"264","NA","New York","MJS107","Male","N1","44x42",44,NA,NA,"16",187,89,20,18,26.3,98,"NA",NA
"265","NA","New York","MJS108","Male","N1","9x11",9,11,NA,"26",182,85,20,16,18.1,97,"NA",NA
"266","NA","New York","MJS109","Male","N1","44x42",44,NA,NA,"18",176,83,19,18,28.9,93,"NA",NA
"267","NA","New York","MJS110","Male","N1","19x13",19,13,NA,"8",170,82,18,14,24.2,88,"NA",NA
"268","NA","New York","MJS112","Male","N1","34x38",34,38,NA,"8",177,82,20,15,23,95,"NA",NA
"269","NA","New York","MJS113","Male","N1","34x38",34,38,NA,"12",173,83,19,16,23,90,"NA",NA
"270","NA","New York","MJS119","Male","N1","9x11",9,11,NA,"20",179,83,19,15,29,96,"NA",NA
"271","NA","New York","MJS120","Male","N1","44x42",44,NA,NA,"8",201,96,19,15,28,105,"NA",NA
"272","NA","New York","MJS122","Male","N1","49x60",49,60,NA,"20",165,75,17,14,27.8,90,"NA",NA
"273","NA","New York","MJS123","Male","N1","19x13",19,13,NA,"10",183,87,17,16,29,96,"NA",NA
"274","NA","New York","MJS124","Male","N1","92x91",92,91,NA,"14",175,83,20,18,20,92,"NA",NA
"275","NA","New York","MJS129","Male","N1","92x91",92,91,NA,"8",178,85,19,16,20.8,93,"NA",NA
"276","NA","New York","MJS130","Male","N1","92x91",92,91,NA,"6",191,87,20,18,30.7,104,"NA",NA
"277","MVZ:Mamm:236489","New York","MJS133","Male","N1","9x11",9,11,NA,"16",180,80,20,16,28.2,100,"293",NA
"278","NA","New York","MJS138","Male","N1","44x42",44,NA,NA,"4",190,92,19,15,36.2,98,"NA",NA
"279","NA","New York","MJS140","Male","N1","44x42",44,NA,NA,"6",198,87,21,15,31.9,111,"NA",NA
"280","NA","New York","MJS149","Male","N1","83x80",83,NA,NA,"2",168,75,16,14,17.6,93,"404",NA
"281","NA","New York","MJS151","Male","N1","9x11",9,11,NA,"18",197,85,21,16,27.6,112,"379",NA
"282","NA","New York","MJS152","Male","N1","9x11",9,11,NA,"14",173,83,19,16,20.4,90,"298",NA
"283","MVZ:Mamm:236600","New York","MJS153","Male","N1","66x67",66,67,NA,"10",170,82,15,20,23.5,88,"165",NA
"284","MVZ:Mamm:236603","New York","MJS156","Male","N1","66x67",66,67,NA,"6",182,85,19,15,33.3,97,"341",NA
"285","NA","New York","MJS160","Male","N1","66x67",66,67,NA,"2",173,84,19,15,26.3,89,"440",NA
"286","NA","New York","MJS161","Male","N1","66x67",66,67,NA,"4",174,83,19,15,21.7,91,"440",NA
"287","MVZ:Mamm:236606","New York","MJS167","Male","N1","84x89",84,89,NA,"4",162,80,18,15,21.1,82,"261",NA
"288","MVZ:Mamm:236608","New York","MJS169","Male","N1","84x89",84,89,NA,"2",180,87,19,15,21.8,93,"261",NA
"289","MVZ:Mamm:236613","New York","MJS174","Male","N1","76x56",76,56,NA,"2",173,82,19,14,22.5,91,"222",NA
"290","MVZ:Mamm:236616","New York","MJS177","Male","N1","82x81",82,81,NA,"4",181,82,19,17,27.7,99,"509",NA
"291","MVZ:Mamm:236618","New York","MJS179","Male","N1","82x81",82,81,NA,"6",195,89,NA,16,34.2,106,"452",NA
"292","MVZ:Mamm:236619","New York","MJS180","Male","N1","82x81",82,81,NA,"2",210,90,22,21,27.9,120,"509",NA
"293","MVZ:Mamm:236622","New York","MJS183","Male","N1","34x38",34,38,NA,"2",185,81,21,19,35.4,104,"451",NA
"294","MVZ:Mamm:236624","New York","MJS185","Male","N1","34x38",34,38,NA,"4",170,80,18,19,25.6,90,"451",NA
"295","MVZ:Mamm:236626","New York","MJS187","Male","N1","34x38",34,38,NA,NA,172,80,19,16,27.4,92,"451",NA
"296","MVZ:Mamm:236630","New York","MJS191","Male","N1","76x56",76,56,NA,"6",171,80,18,14,21.8,91,"146",NA
"297","NA","New York","MJS195","Male","N1","76x56",76,56,NA,NA,167,78,19,14,21.4,89,"98",NA
"298","NA","New York","MJS202","Male","N1","76x56",76,56,NA,"4",169,77,20,15,19.3,92,"NA",NA
"299","NA","New York","MJS204","Male","N1","105x104",105,104,NA,"2",180,91,20,14.5,28.6,89,"461",NA
"300","NA","New York","MJS206","Male","N1","92x91",92,91,NA,"4",207,88,20,17,37.9,119,"530",NA
"301","NA","New York","MJS207","Male","N1","92x91",92,91,NA,"2",207,94,20,16,32.2,113,"530",NA
"302","NA","New York","MJS208","Male","N1","66x67",66,67,NA,"8",179,89,19,15,22.5,90,"292",NA
"303","NA","New York","MJS210","Male","N1","84x89",84,89,NA,"6",173,83,20,15,24.7,90,"239",NA
"304","MVZ:Mamm:236632","New York","MJS219","Male","N1","92x91",92,91,NA,"10",186,87,18,16,25.1,99,"308",NA
"305","MVZ:Mamm:236633","New York","MJS220","Male","N1","84x89",84,89,NA,"8",178,83,20,15,22.8,95,"253",NA
"306","MVZ:Mamm:236641","New York","MJS325","Male","N1","92x91",92,91,NA,"12",175,83,18,15,26.4,92,"362",NA
"307","MVZ:Mamm:236644","New York","MJS330","Male","N1","19x13",19,13,NA,"6",193,90,17,15,20.7,103,"539",NA
"308","MVZ:Mamm:236645","New York","MJS331","Male","N1","83x80",83,NA,NA,"10",173,80,18,15,20.8,93,"527",NA
"309","MVZ:Mamm:236647","New York","MJS333","Male","N1","83x80",83,NA,NA,"4",179,79,17,14,18.3,100,"600",NA
"310","MVZ:Mamm:236648","New York","MJS334","Male","N1","19x13",19,13,NA,"4",184,87,19,15,24.6,97,"604",NA
"311","MVZ:Mamm:236649","New York","MJS335","Male","N1","76x56",76,56,NA,"4",194,87,18,15,29.6,107,"231",NA
"312","MVZ:Mamm:236650","New York","MJS336","Male","N1","19x13",19,13,NA,"2",172,81,18,14,19,91,"604",NA
"313","MVZ:Mamm:236653","New York","MJS342","Male","N1","105x104",105,104,NA,NA,192,87,17,14,36.2,105,"565",NA
"314","MVZ:Mamm:236655","New York","MJS358","Male","N1","105x104",105,104,NA,NA,203,93,19,15,23.1,110,"445",NA
"315","NA","Brazil","FMM370","Female","N2","261x239",261,239,NA,"A7",162,82,16,14,14.6,80,"247",NA
"316","NA","Brazil","FMM371","Female","N2","261x239",261,239,"9x6","3",160,84,16,14,14.1,76,"247",NA
"317","NA","Brazil","FMM373","Female","N2","254x215",254,215,NA,"B1",166,76,16,15,16.8,90,"293",NA
"318","MVZ:Mamm:236575","Brazil","FMM377","Female","N2","221x215",221,215,NA,"B1",172,80,17,14,13.7,92,"300",NA
"319","NA","Brazil","FMM378","Female","N2","224x225",224,225,NA,"B1",170,85,16,14,15.5,85,"261",NA
"320","NA","Brazil","FMM383","Female","N2","261x239",261,239,NA,"B3",164,82,16,14,15.7,82,"298",NA
"321","NA","Brazil","FMM389","Female","N2","221x215",221,215,NA,"A5",137,NA,19,14,15.7,137,"194",NA
"322","NA","Brazil","FMM390","Female","N2","224x225",224,225,NA,"A1",171,81,19,14,15.1,90,"348",NA
"323","NA","Brazil","FMM391","Female","N2","224x225",224,225,NA,"A3",166,88,18,14,15.7,78,"348",NA
"324","NA","Brazil","FMM392","Female","N2","224x225",224,225,NA,"A5",173,86,18,14,14.3,87,"348",NA
"325","NA","Brazil","FMM394","Female","N2","224x225",224,225,NA,"B3",173,85,14,17.5,16.47,88,"315",NA
"326","NA","Brazil","FMM395","Female","N2","224x225",224,225,NA,"B5",166,94,18,14,14.9,72,"315",NA
"327","NA","Brazil","FMM402","Female","N2","261x239",261,239,NA,"A3",159,82,17.5,13,10,77,"353",NA
"328","NA","Brazil","FMM404","Female","N2","261x239",261,239,"9x6","1-B7",168,81,18,14,12.7,87,"308",NA
"329","NA","Brazil","FMM406","Female","N2","263x249",263,249,"3x2","A1",161,81,17,14.5,12,80,"308",NA
"330","NA","Brazil","FMM407","Female","N2","263x249",263,249,"3x2","A3",165,87,18,14,13,78,"308",NA
"331","NA","Brazil","FMM408","Female","N2","263x249",263,249,"3x2","A5",169,78,16,14,14.1,91,"308",NA
"332","NA","Brazil","FMM409","Female","N2","263x249",263,249,"3x2","A7",172,87,18,14,14.7,85,"308",NA
"333","NA","Brazil","FMM411","Female","N2","254x215",254,215,NA,"C1",175,85,19,14,15.1,90,"315",NA
"334","NA","Brazil","FMM421","Female","N2","222x254",254,222,"A1xA2","A1",181,80,16,14,16.9,101,"191",NA
"335","NA","Brazil","FMM423","Female","N2","222x254",254,222,"B5xB4","B5",183,81,17,14,18.8,102,"NA",NA
"336","NA","Brazil","FMM428","Female","N2","228x238",238,228,NA,"B1",160,87,17,14,15.9,73,"191",NA
"337","NA","Brazil","FMM433","Female","N2","222x254",254,222,NA,NA,183,81,17,14,18.8,102,"222",NA
"338","NA","Brazil","FMM437","Female","N2","255x193",255,193,NA,"A1",185,86,17,16,16.8,99,"275",NA
"339","NA","Brazil","FMM440","Female","N2","224x225",224,225,NA,"A1",171,82,19,14,16.2,89,"282",NA
"340","NA","Brazil","FMM442","Female","N2","261x239",261,239,NA,"B5",175,87,18,14,23.3,88,"359",NA
"341","NA","Brazil","FMM443","Female","N2","209x208",209,208,NA,"A1",165,83,19,14,15,82,"357",NA
"342","NA","Brazil","FMM444","Female","N2","263x249",263,249,NA,"A1",189,94,16,14,13.8,95,"403",NA
"343","NA","Brazil","FMM446","Female","N2","192x252",192,252,NA,NA,176,85,16,14,18.5,91,"200",NA
"344","NA","Brazil","FMM453","Female","N2","222x254",254,222,"A1xA2","A5",181,93,15,14,20.2,88,"147",NA
"345","NA","Brazil","FMM455","Female","N2","263x249",263,249,"B5xB4","B3",174,90,18,15,15.7,84,"110",NA
"346","NA","Brazil","FMM458","Female","N2","228x238",238,228,"A1xA2","A1",162,78,18,13,14.8,84,"183",NA
"347","NA","Brazil","FMM478","Female","N2","224x225",224,225,NA,"A7",176,85,19,14,19.4,91,"386",NA
"348","NA","Brazil","FMM480","Female","N2","261x239",261,239,NA,"A1",160,81,17,13,15.4,79,"508",NA
"349","NA","Brazil","FMM525","Female","N2","202x246",202,246,"B3xB4","B3",160,80,18,14,16.5,80,"279",NA
"350","NA","Brazil","FMM534","Female","N2","250x247",250,247,"A11xA4","A3",169,82,18,13,15.6,87,"180",NA
"351","NA","Brazil","FMM538","Female","N2","260x220",260,NA,"A3xA4","A1",169,76,16,13,18.8,93,"222",NA
"352","NA","Brazil","FMM542","Female","N2","250x247",250,247,"A11xA4","A1",168,81,18,13,16.8,87,"194",NA
"353","NA","Brazil",NA,"Female","N2",NA,NA,NA,NA,NA,172,83,18,14,14.3,89,"348",NA
"354","NA","Brazil","FMM343","Male","N2","261x239",261,239,NA,NA,161,84,16,12,17.28,77,"NA",NA
"355","NA","Brazil","FMM344","Male","N2","261x239",261,239,NA,NA,159,84,17,11,14.98,75,"NA",NA
"356","NA","Brazil","FMM356","Male","N2","261x239",261,239,NA,"B14",161.1,84,15,11.5,19.9,77.1,"NA",NA
"357","NA","Brazil","FMM374","Male","N2","261x239",261,239,NA,"A8",182,88,17,14,19.7,94,"292",NA
"358","NA","Brazil","FMM382","Male","N2","261x239",261,239,NA,"B4",179,84,18,14,15.2,95,"254",NA
"359","NA","Brazil","FMM385","Male","N2","209x208",209,208,NA,"A2",170,86,18,14,14.3,84,"306",NA
"360","NA","Brazil","FMM386","Male","N2","254x215",254,215,NA,"C2",176,89,19,14,17.9,87,"NA",NA
"361","NA","Brazil","FMM387","Male","N2","221x215",221,215,"1x2","A2",127,45,18,14,22.6,82,"308",NA
"362","NA","Brazil","FMM388","Male","N2","221x215",221,215,"1x2","A4",185,90,20,15,32.3,95,"308",NA
"363","NA","Brazil","FMM393","Male","N2","224x225",224,225,NA,"B2",176,95,19,15,15.8,81,"315",NA
"364","NA","Brazil","FMM396","Male","N2","254x215",254,215,NA,"B2",162,82,18,14,20.2,80,"308",NA
"365","NA","Brazil","FMM398","Male","N2","228x238",238,228,NA,"B6",173,83,17,13,14.3,90,"64",NA
"366","NA","Brazil","FMM398","Male","N2","254x215",254,215,NA,"C4",185,96,20,15,22.1,89,"315",NA
"367","MVZ:Mamm:236584","Brazil","FMM405","Male","N2","261x239",261,239,NA,"B8",165,83,17,13,13.3,82,"308",NA
"368","NA","Brazil","FMM410","Male","N2","263x249",263,249,"3x2","A2",134,NA,18,NA,15.2,134,"353",NA
"369","NA","Brazil","FMM424","Male","N2","222x254",254,222,NA,"A2",181,87,18,14,17.9,94,"191",NA
"370","NA","Brazil","FMM426","Male","N2","228x238",238,228,NA,"B2",160,77,17,14,15.8,83,"191",NA
"371","NA","Brazil","FMM429","Male","N2","221x215",221,215,"1x2","A2",162,79,18,15,18.5,83,"194",NA
"372","NA","Brazil","FMM430","Male","N2","221x215",221,215,NA,"B2",159,81,19,13,15.9,78,"308",NA
"373","NA","Brazil","FMM434","Male","N2","255x193",255,193,NA,"A8",165,80,20,15,15.8,85,"275",NA
"374","NA","Brazil","FMM439","Male","N2","261x239",261,239,NA,"B6",179,87,18,15,31.7,92,"359",NA
"375","NA","Brazil","FMM445","Male","N2","209x208",209,208,"A7xA2","A2",183,92,17,13,15.6,91,"240",NA
"376","NA","Brazil","FMM447","Male","N2","192x252",192,252,NA,NA,180,84,17,14,15.5,96,"200",NA
"377","NA","Brazil","FMM452","Male","N2","228x238",238,228,"A1xA2","A2",172,82,16,14,15.1,90,"183",NA
"378","NA","Brazil","FMM454","Male","N2","222x254",254,222,"A1xA2","A6",183,88,17,14,21.3,95,"147",NA
"379","NA","Brazil","FMM456","Male","N2","263x249",263,249,"B5xB4","B6",172,84,19,14,17.2,88,"110",NA
"380","NA","Brazil","FMM468","Male","N2","224x225",224,225,NA,"A4",177,85,19,14,27.4,92,"365",NA
"381","NA","Brazil","FMM481","Male","N2","261x239",261,239,NA,"A2",179,91,19,14,19.4,88,"508",NA
"382","NA","Brazil","FMM531","Male","N2","250x247",250,247,"A11xA4","A2",172,82,18,14,18.2,90,"180",NA
"383","NA","Brazil","FMM543","Male","N2","260x220",260,NA,"A3xA4","A2",178,82,19,14,24.4,96,"222",NA
"384","NA","Brazil","FMM630","Male","N2","224x225",224,225,"A3xA2","A2",157,75,18,13,15.3,82,"872",NA
"385","NA","New York","MJS157","Female","N2","66x67",66,67,"3x4?","A3",165,82,19,14,17.3,83,"245",NA
"386","NA","New York","MJS159","Female","N2","66x67",66,67,"3x4","3x4-1",164,78,18,14,15.5,86,"135",NA
"387","NA","New York","MJS218","Female","N2","92x91",92,91,"B","B1",182,86,18,15,29.4,96,"303",NA
"388","NA","New York","MJS225","Female","N2","9x11",9,11,"C","C3",176,75,19,14,20.3,101,"NA",NA
"389","NA","New York","MJS226","Female","N2","82x81",82,81,NA,"11",179,80,19,20,21.8,99,"184",NA
"390","NA","New York","MJS228","Female","N2","92x91",92,91,NA,"A3",182,86,19,16,21,96,"256",NA
"391","NA","New York","MJS231","Female","N2","34x38",34,38,"C1xC6","C9",165,76,19,14,18.6,89,"135",NA
"392","NA","New York","MJS231","Female","N2","19x13",19,13,NA,"B7",169,81,20,15,17.9,88,"361",NA
"393","NA","New York","MJS232","Female","N2","82x81",82,81,"A1xA2","A1",166,75,16,15,18.9,91,"320",NA
"394","NA","New York","MJS232","Female","N2","19x13",19,13,NA,"B9",164,78,20,15,17.1,86,"361",NA
"395","NA","New York","MJS233","Female","N2","84x89",84,89,"A","A3",169,73,19,14,NA,96,"134",NA
"396","NA","New York","MJS235","Female","N2","44x42",44,NA,"A","A1",176,88,20,14,26.4,88,"314",NA
"397","NA","New York","MJS236","Female","N2","9x11",9,11,"A","A3",155,70,18,13,18.3,85,"234",NA
"398","NA","New York","MJS236","Female","N2","19x13",19,13,NA,"B3",175,79,19,18,20.5,96,"279",NA
"399","NA","New York","MJS238","Female","N2","34x38",34,38,NA,NA,167,84,19,14,18.1,83,"280",NA
