"","GUID","Population","Collector_ID","Sex","Generation","Line_ID","Mother_Line","Father_Line","Midparent_ID","Sample_ID","Total_Length_mm","Tail_Length_mm","Hindfoot_Length_mm","Ear_Length_mm","Body_Weight_g","Body_Length_mm","Age_days","Notes"
"1","NA","Brazil","FMM373","Female","N2","254x215",254,215,"254x215_B1xB2","B1",166,76,16,15,16.8,90,293,NA
"2","MVZ:Mamm:236575","Brazil","FMM377","Female","N2","221x215",221,215,"221x215_B1xB2","B1",172,80,17,14,13.7,92,300,NA
"3","NA","Brazil","FMM406","Female","N2","263x249",263,249,"263x249_A1xA2","A1",161,81,17,14.5,12,80,308,NA
"4","NA","Brazil","FMM421","Female","N2","222x254",254,222,"222x254_A1xA2","A1",181,80,16,14,16.9,101,191,NA
"5","NA","Brazil","FMM428","Female","N2","228x238",238,228,"238x228_B1xB2","B1",160,87,17,14,15.9,73,191,NA
"6","NA","Brazil","FMM437","Female","N2","255x193",255,193,"255x193_A1xA8","A1",185,86,17,16,16.8,99,275,NA
"7","NA","Brazil","FMM440","Female","N2","224x225",224,225,"224x225_A1xA2","A1",171,82,19,14,16.2,89,282,NA
"8","NA","Brazil","FMM442","Female","N2","261x239",261,239,"261x239_B5xB6","B5",175,87,18,14,23.3,88,359,NA
"9","NA","Brazil","FMM443","Female","N2","209x208",209,208,"209x208_A1xA2","A1",165,83,19,14,15,82,357,NA
"10","NA","Brazil","FMM453","Female","N2","222x254",254,222,"222x254_A5xA6","A5",181,93,15,14,20.2,88,147,NA
"11","NA","Brazil","FMM458","Female","N2","228x238",238,228,"238x228_A1xA2","A1",162,78,18,13,14.8,84,183,NA
"12","NA","Brazil","FMM525","Female","N2","202x246",202,246,"202x246_B3xB6","B3",160,80,18,14,16.5,80,279,NA
"13","NA","Brazil","FMM534","Female","N2","250x247",250,247,"250x247_A3xA2","A3",169,82,18,13,15.6,87,180,NA
"14","NA","Brazil","FMM538","Female","N2","260x220",260,220,"260x220_A1xA2","A1",169,76,16,13,18.8,93,222,NA
"15","NA","Brazil","FMM542","Female","N2","250x247",250,247,"250x247_A1xA2","A1",168,81,18,13,16.8,87,194,NA
"16","NA","Brazil","FMM393","Male","N2","224x225",224,225,"224x224_XxB2","B2",176,95,19,15,15.8,81,315,NA
"17","NA","Brazil","FMM396","Male","N2","254x215",254,215,"254x215_B1xB2","B2",162,82,18,14,20.2,80,308,NA
"18","NA","Brazil","FMM410","Male","N2","263x249",263,249,"263x249_A1xA2","A2",134,NA,18,NA,15.2,134,353,NA
"19","NA","Brazil","FMM424","Male","N2","222x254",254,222,"222x254_A1xA2","A2",181,87,18,14,17.9,94,191,NA
"20","NA","Brazil","FMM426","Male","N2","228x238",238,228,"238x228_B1xB2","B2",160,77,17,14,15.8,83,191,NA
"21","NA","Brazil","FMM430","Male","N2","221x215",221,215,"221x215_B1xB2","B2",159,81,19,13,15.9,78,308,NA
"22","NA","Brazil","FMM434","Male","N2","255x193",255,193,"255x193_A1xA8","A8",165,80,20,15,15.8,85,275,NA
"23","NA","Brazil","FMM439","Male","N2","261x239",261,239,"261x239_B5xB6","B6",179,87,18,15,31.7,92,359,NA
"24","NA","Brazil","FMM445","Male","N2","209x208",209,208,"209x208_A1xA2","A2",183,92,17,13,15.6,91,240,NA
"25","NA","Brazil","FMM452","Male","N2","228x238",238,228,"238x228_A1xA2","A2",172,82,16,14,15.1,90,183,NA
"26","NA","Brazil","FMM454","Male","N2","222x254",254,222,"222x254_A5xA6","A6",183,88,17,14,21.3,95,147,NA
"27","NA","Brazil","FMM531","Male","N2","250x247",250,247,"250x247_A1xA2","A2",172,82,18,14,18.2,90,180,NA
"28","NA","Brazil","FMM543","Male","N2","260x220",260,220,"260x220_A1xA2","A2",178,82,19,14,24.4,96,222,NA
"29","NA","Brazil","FMM630","Male","N2","224x225",224,225,"224x225_A1xA2","A2",157,75,18,13,15.3,82,872,NA
"30","NA","New York","MJS159","Female","N2","66x67",66,67,"66x67_B1xB2","B1",164,78,18,14,15.5,86,135,NA
"31","NA","New York","MJS218","Female","N2","92x91",92,91,"92x91_B1xB?","B1",182,86,18,15,29.4,96,303,NA
"32","NA","New York","MJS225","Female","N2","9x11",9,11,"9x11_C3xC2","C3",176,75,19,14,20.3,101,NA,NA
"33","NA","New York","MJS226","Female","N2","82x81",82,81,"82x81_C11xC4","C11",179,80,19,20,21.8,99,184,NA
"34","NA","New York","MJS228","Female","N2","92x91",92,91,"92x91_A3xA2","A3",182,86,19,16,21,96,256,NA
"35","NA","New York","MJS231","Female","N2","34x38",34,38,"34x38_C9xC4","C9",165,76,19,14,18.6,89,135,NA
"36","NA","New York","MJS235","Female","N2","44x42",44,42,"44x42_A1xA2","A1",176,88,20,14,26.4,88,314,NA
"37","NA","New York","MJS236","Female","N2","9x11",9,11,"9x11_A3xA4","A3",155,70,18,13,18.3,85,234,NA
"38","NA","New York","MJS238","Female","N2","83x80",83,80,"83x80_A?xA8","A?",162,80,17,15,24.1,82,293,NA
"39","NA","New York","MJS239","Female","N2","34x38",34,38,"34x38_A1xA2","A1",185,82,19,15,26.9,103,277,NA
"40","NA","New York","MJS241","Female","N2","34x38",34,38,"34x38_B3xB4","B3",179,87,20,15,21.4,92,281,NA
"41","NA","New York","MJS243","Female","N2","44x42",44,42,"44x42_C5xC4","C5",181,88,20,15,19.2,93,358,NA
"42","NA","New York","MJS314","Female","N2","84x89",84,89,"84x89_A1xA2","A1",165,75,20,15,19.7,90,181,NA
"43","NA","New York","MJS328","Female","N2","76x56",76,56,"76x56_A1xA2","A1",166,82,19,15,21.6,84,207,NA
"44","MVZ:Mamm:236646","New York","MJS332","Female","N2","19x13",19,13,"19x13_B1xB4","B1",171,80,19,15,17.3,91,280,NA
"45","NA","New York","MJS347","Female","N2","76x56",76,56,"76x56_C1xC2","C2",170,77,19,14,25,93,183,"pregnant"
"46","NA","New York","MJS158","Male","N2","66x67",66,67,"66x67_B1xB2","B2",166,83,19,15,18.5,83,135,NA
"47","NA","New York","MJS225","Male","N2","82x81",82,81,"82x81_C11xC4","C4",176,80,20,14,23.9,96,184,NA
"48","NA","New York","MJS226","Male","N2","9x11",9,11,"9x11_C3xC2","C2",171,75,20,15,24,96,363,NA
"49","NA","New York","MJS227","Male","N2","9x11",9,11,"9x11_A3xA4","A4",160,71,20,15,22.7,89,281,NA
"50","NA","New York","MJS229","Male","N2","92x91",92,91,"92x91_A3xA2","A2",189,85,20,16,41.2,104,320,NA
"51","NA","New York","MJS230","Male","N2","34x38",34,38,"34x38_C9xC4","C4",162,78,20,14,24.2,84,135,NA
"52","NA","New York","MJS234","Male","N2","84x89",84,89,"84x89_A1xA2","A2",171,77,19,14,21.1,94,134,NA
"53","NA","New York","MJS235","Male","N2","19x13",19,13,"19x13_B1xB4","B4",172,84,19,15,21.6,88,279,NA
"54","NA","New York","MJS237","Male","N2","83x80",83,80,"83x80_A?xA8","A8",165,80,19,15,22.7,85,293,NA
"55","NA","New York","MJS240","Male","N2","34x38",34,38,"34x38_A1xA2","A2",180,79,18,15,29.1,101,300,NA
"56","MVZ:Mamm:236637","New York","MJS242","Male","N2","34x38",34,38,"34x38_B3xB4","B4",168,80,19,15,20.5,88,280,NA
"57","NA","New York","MJS244","Male","N2","44x42",44,42,"44x42_C5xC4","C4",181,90,19,15,20.8,91,358,NA
"58","NA","New York","MJS327","Male","N2","76x56",76,56,"76x56_A1xA2","A2",172,83,19,14,21.5,89,207,NA
"59","NA","New York","MJS346","Male","N2","76x56",76,56,"76x56_C1xC2","C1",176,84,19,15,27.8,92,183,NA
"60","NA","Brazil","FMM423","Female","N3","254x215",254,215,"254x215_B1xB2","B5",164,73,15,14,20.5,91,190,"pregnant"
"61","NA","Brazil","FMM427","Female","N3","209x208",209,208,"209x208_A1xA2","A1",169,80,17,14,17,89,194,NA
"62","NA","Brazil","FMM451","Female","N3","228x238",238,228,"238x228_B1xB2","B1",173,79,16,14,15.1,94,174,NA
"63","NA","Brazil","FMM462","Female","N3","228x238",238,228,"238x228_A1xA2","A1",157,74,18,13,16.6,83,147,NA
"64","NA","Brazil","FMM463","Female","N3","224x225",224,225,"224x224_XxB2","B3",168,83,17,15,28.5,85,229,NA
"65","NA","Brazil","FMM465","Female","N3","263x249",263,249,"263x249_A1xA2","A7",165,83,18,13,14.6,82,229,NA
"66","NA","Brazil","FMM466","Female","N3","221x215",221,215,"221x215_B1xB2","B1",163,78,18,14,16.8,85,327,NA
"67","NA","Brazil","FMM471","Female","N3","261x239",261,239,"261x239_B5xB6","B3",170,80,18,15,26.4,90,283,NA
"68","NA","Brazil","FMM479","Female","N3","261x239",261,239,"261x239_B5xB6","B1",166,84,18,14,17.6,82,304,NA
"69","NA","Brazil","FMM483","Female","N3","263x249",263,249,"263x249_A1xA2","A13",163,81,16,14,13.7,82,317,NA
"70","NA","Brazil","FMM492","Female","N3","222x254",254,222,"222x254_A5xA6","A1",166,85,18,13,25.8,81,152,"pregnant"
"71","NA","Brazil","FMM519","Female","N3","222x254",254,222,"222x254_A1xA2","A7",170,79,18,14,17.5,91,258,NA
"72","NA","Brazil","FMM521","Female","N3","222x254",254,222,"222x254_A1xA2","A5",172,81,18,14,21.3,91,265,NA
"73","NA","Brazil","FMM532","Female","N3","224x225",224,225,"224x225_A1xA2","A1",174,83,15,13,17.1,91,405,NA
"74","NA","Brazil","FMM600","Female","N3","193x255",255,193,"255x193_A1xA8","A9",189,90,18.5,15,17.6,99,383,NA
"75","NA","Brazil","FMM603","Female","N3","260x220",260,220,"260x220_A1xA2","A9",171,87,17,13,21.7,84,179,NA
"76","NA","Brazil","FMM609","Female","N3","193x255",255,193,"255x193_A1xA8","A1",189,91,18.5,16,20,98,576,NA
"77","NA","Brazil","FMM612","Female","N3","250x247",250,247,"250x247_A3xA2","A3",165,82,17,12,17.9,83,252,NA
"78","NA","Brazil","FMM657","Female","N3","202x246",202,246,"202x246_B3xB6","B5",170,81,18,14,21.1,89,691,"pregnant"
"79","NA","Brazil","FMM422","Male","N3","254x215",254,215,"254x215_B1xB2","B8",175,81,16,13,15.9,94,190,NA
"80","NA","Brazil","FMM425","Male","N3","209x208",209,208,"209x208_A1xA2","A2",173,94,19,14,16.7,79,194,NA
"81","NA","Brazil","FMM457","Male","N3","228x238",238,228,"238x228_B1xB2","B2",170,81,18,14,15,89,174,NA
"82","NA","Brazil","FMM461","Male","N3","228x238",238,228,"238x228_A1xA2","A2",161,80,19,14,19.7,81,140,NA
"83","NA","Brazil","FMM467","Male","N3","221x215",221,215,"221x215_B1xB2","B2",162,72,18,14,18.8,90,327,NA
"84","NA","Brazil","FMM469","Male","N3","261x239",261,239,"261x239_B5xB6","B2",175,85,19,14,26.2,90,283,NA
"85","NA","Brazil","FMM472","Male","N3","224x225",224,225,"224x224_XxB2","B4",193,99,19,15,18.3,94,229,NA
"86","NA","Brazil","FMM482","Male","N3","263x249",263,249,"263x249_A1xA2","A2",172,84,18,14,20.1,88,257,NA
"87","NA","Brazil","FMM494","Male","N3","222x254",254,222,"222x254_A5xA6","A2",175,89,19,14,19.3,86,152,NA
"88","NA","Brazil","FMM523","Male","N3","222x254",254,222,"222x254_A1xA2","A4",176,83,19,14,28.1,93,265,NA
"89","NA","Brazil","FMM524","Male","N3","224x225",224,225,"224x225_A1xA2","A2",177,84,18,15,23.7,93,377,NA
"90","NA","Brazil","FMM604","Male","N3","260x220",260,220,"260x220_A1xA2","A8",175,80,17,14,22.8,95,179,NA
"91","NA","Brazil","FMM610","Male","N3","193x255",255,193,"255x193_A1xA8","A8",187,94,19,16,21.7,93,425,NA
"92","NA","Brazil","FMM611","Male","N3","250x247",250,247,"250x247_A3xA2","A4",166,80,17,11,13.8,86,252,NA
"93","NA","Brazil","FMM658","Male","N3","202x246",202,246,"202x246_B3xB6","B4",170,81,18,15,16.5,89,691,NA
"94","NA","Brazil","GPH029","Male","N3","250x247",250,247,"250x247_A1xA2","A4",177,85,17,15,16.5,92,276,NA
"95","NA","New York","MJS300","Female","N3","66x67",66,67,"66x67_B1xB2","B1",174,84,18,16,24.4,90,165,"pregnant"
"96","NA","New York","MJS303","Female","N3","92x91",92,91,"92x91_A3xA2","A4",168,83,18,14,24.3,85,193,"pregnant"
"97","NA","New York","MJS312","Female","N3","34x38",34,38,"34x38_A1xA2","A1",162,76.5,19,15,18.7,85.5,208,NA
"98","NA","New York","MJS315","Female","N3","34x38",34,38,"34x38_B3xB4","B1",164,76,18,14,19.2,88,206,NA
"99","NA","New York","MJS319","Female","N3","9x11",9,11,"9x11_A3xA4","A1",165,72,19,15,25.6,93,199,NA
"100","NA","New York","MJS320","Female","N3","9x11",9,11,"9x11_C3xC2","C5",165,75,19,14,19.4,90,206,NA
"101","NA","New York","MJS341","Female","N3","82x81",82,81,"82x81_C11xC4","C5",175,80,19,14,19.3,95,198,NA
"102","NA","New York","MJS353","Female","N3","44x42",44,42,"44x42_A1xA2","A5",197,86,19,14,27.3,111,284,NA
"103","NA","New York","MJS359","Female","N3","34x38",34,38,"34x38_C9xC4","C1",171,74,16,14,29.2,97,202,"pregnant"
"104","NA","New York","MJS364","Female","N3","92x91",92,91,"92x91_B1xB?","B5",192,85,18,15,27.8,107,259,"pregnant"
"105","NA","New York","MJS370","Female","N3","76x56",76,56,"76x56_A1xA2","A1",188,88,19,15,23.6,100,209,"pregnant"
"106","NA","New York","MJS371","Female","N3","83x80",83,80,"83x80_A?xA8","A1",189,80,18,14,19.7,109,274,NA
"107","NA","New York","MJS393","Female","N3","84x89",84,89,"84x89_A1xA2","A1",179,80,20,14,23.9,99,244,NA
"108","NA","New York","MJS405","Female","N3","76x56",76,56,"76x56_C1xC2","C3",169,71,19,15,28.9,98,209,"pregnant"
"109","NA","New York","MJS409","Female","N3","84x89",84,89,"84x89_A1xA2","A5",168,75,19,14,20.5,93,258,NA
"110","NA","New York","MJS527","Female","N3","19x13",19,13,"19x13_B1xB4","B1",202,97,19,15,21.1,105,NA,NA
"111","NA","New York","MJS227","Male","N3","34x38",34,38,"34x38_B3xB4","B2",173,89,17,14,27,84,159,NA
"112","NA","New York","MJS301","Male","N3","66x67",66,67,"66x67_B1xB2","B2",168,85,18,15,18.2,83,165,NA
"113","NA","New York","MJS302","Male","N3","92x91",92,91,"92x91_A3xA2","A5",173,93,19,15,22.9,80,193,NA
"114","NA","New York","MJS313","Male","N3","34x38",34,38,"34x38_A1xA2","A2",178,83,19,14,39.6,95,208,NA
"115","NA","New York","MJS318","Male","N3","9x11",9,11,"9x11_A3xA4","A2",157,73,19,14,19.7,84,199,NA
"116","NA","New York","MJS340","Male","N3","82x81",82,81,"82x81_C11xC4","C4",172,79,19,13,19.7,93,198,NA
"117","NA","New York","MJS352","Male","N3","44x42",44,42,"44x42_A1xA2","A4",200,91,20,14,21.7,109,284,NA
"118","NA","New York","MJS354","Male","N3","34x38",34,38,"34x38_C9xC4","C2",163,74,18,14,20.2,89,202,NA
"119","NA","New York","MJS365","Male","N3","92x91",92,91,"92x91_B1xB?","B4",199,82,18,16,20.5,117,259,NA
"120","NA","New York","MJS367","Male","N3","44x42",44,42,"44x42_C5xC4","C2",196,90,19,14,20.7,106,311,NA
"121","NA","New York","MJS369","Male","N3","76x56",76,56,"76x56_A1xA2","A2",191,87,18,15,21.5,104,209,NA
"122","NA","New York","MJS375","Male","N3","83x80",83,80,"83x80_A?xA8","A2",169,77,19,14,18.2,92,274,NA
"123","NA","New York","MJS395","Male","N3","84x89",84,89,"84x89_A1xA2","A2",165,75,19,14,20.4,90,244,NA
"124","NA","New York","MJS406","Male","N3","76x56",76,56,"76x56_C1xC2","C4",178,81,19,15,26.8,97,209,NA
"125","NA","New York","MJS514","Male","N3","19x13",19,13,"19x13_B1xB4","B2",190,89,19,15,23.4,101,NA,NA
"126","NA","New York","MJS407","Male","N3","84x89",84,89,"84x89_A1xA2","A4",173,78,19,15,22.3,95,258,NA
