"","Age_days","Age_weeks","Age_category","Population","Generation","Line","Mouse_ID","Sex","Environment","Body_Weight_g","Tail_Length_mm","PopEnv"
"515",48,6.857142857,"na","Brazil","N11","MANA","193x255_BZ21","Female","Cold",11.85,70.5,"Brazil - Cold"
"516",61,8.714285714,"na","Brazil","N11","MANA","193x255_BZ21","Female","Cold",11.32,72.5,"Brazil - Cold"
"517",73,10.42857143,"na","Brazil","N11","MANA","193x255_BZ21","Female","Cold",11.91,NA,"Brazil - Cold"
"518",79,11.28571429,"endexp","Brazil","N11","MANA","193x255_BZ21","Female","Cold",11.83,73,"Brazil - Cold"
"519",21,3,"weaning","Brazil","N11","MANA","193x255_BZ23","Female","Warm",7.27,NA,"Brazil - Warm"
"520",26,3.714285714,"startexp","Brazil","N11","MANA","193x255_BZ23","Female","Warm",8.14,61.5,"Brazil - Warm"
"521",34,4.857142857,"na","Brazil","N11","MANA","193x255_BZ23","Female","Warm",9.22,66.5,"Brazil - Warm"
"522",48,6.857142857,"na","Brazil","N11","MANA","193x255_BZ23","Female","Warm",11.13,73.5,"Brazil - Warm"
"523",61,8.714285714,"na","Brazil","N11","MANA","193x255_BZ23","Female","Warm",11.63,77,"Brazil - Warm"
"524",73,10.42857143,"na","Brazil","N11","MANA","193x255_BZ23","Female","Warm",11.44,NA,"Brazil - Warm"
"525",79,11.28571429,"endexp","Brazil","N11","MANA","193x255_BZ23","Female","Warm",11.79,77.5,"Brazil - Warm"
"526",23,3.285714286,"weaning","Brazil","N11","MANA","193x255_BZ18","Male","Warm",6.23,NA,"Brazil - Warm"
"527",25,3.571428571,"startexp","Brazil","N11","MANA","193x255_BZ18","Male","Warm",6.29,61.5,"Brazil - Warm"
"528",39,5.571428571,"na","Brazil","N11","MANA","193x255_BZ18","Male","Warm",9.76,70,"Brazil - Warm"
"529",47,6.714285714,"na","Brazil","N11","MANA","193x255_BZ18","Male","Warm",10.31,75.5,"Brazil - Warm"
"530",54,7.714285714,"na","Brazil","N11","MANA","193x255_BZ18","Male","Warm",10.38,75.5,"Brazil - Warm"
"531",69,9.857142857,"na","Brazil","N11","MANA","193x255_BZ18","Male","Warm",10.91,NA,"Brazil - Warm"
"532",71,10.14285714,"endexp","Brazil","N11","MANA","193x255_BZ18","Male","Warm",10.92,80,"Brazil - Warm"
"533",23,3.285714286,"weaning","Brazil","N11","MANA","193x255_BZ20","Male","Cold",6.72,NA,"Brazil - Cold"
"534",25,3.571428571,"startexp","Brazil","N11","MANA","193x255_BZ20","Male","Cold",6.81,64,"Brazil - Cold"
"535",39,5.571428571,"na","Brazil","N11","MANA","193x255_BZ20","Male","Cold",11.28,68,"Brazil - Cold"
"536",47,6.714285714,"na","Brazil","N11","MANA","193x255_BZ20","Male","Cold",11.2,69,"Brazil - Cold"
"537",54,7.714285714,"na","Brazil","N11","MANA","193x255_BZ20","Male","Cold",11.35,72.5,"Brazil - Cold"
"538",69,9.857142857,"na","Brazil","N11","MANA","193x255_BZ20","Male","Cold",12.18,NA,"Brazil - Cold"
"539",71,10.14285714,"endexp","Brazil","N11","MANA","193x255_BZ20","Male","Cold",12.29,74,"Brazil - Cold"
"540",23,3.285714286,"weaning","Brazil","N11","MANA","193x255_BZ25","Female","Cold",6.9,NA,"Brazil - Cold"
"541",25,3.571428571,"startexp","Brazil","N11","MANA","193x255_BZ25","Female","Cold",7.24,65.5,"Brazil - Cold"
"542",39,5.571428571,"na","Brazil","N11","MANA","193x255_BZ25","Female","Cold",10.54,67.5,"Brazil - Cold"
"543",47,6.714285714,"na","Brazil","N11","MANA","193x255_BZ25","Female","Cold",11.13,72,"Brazil - Cold"
"544",54,7.714285714,"na","Brazil","N11","MANA","193x255_BZ25","Female","Cold",10.92,73.5,"Brazil - Cold"
"545",69,9.857142857,"na","Brazil","N11","MANA","193x255_BZ25","Female","Cold",11.72,NA,"Brazil - Cold"
"546",71,10.14285714,"endexp","Brazil","N11","MANA","193x255_BZ25","Female","Cold",11.62,75.5,"Brazil - Cold"
"547",23,3.285714286,"weaning","Brazil","N11","MANA","193x255_BZ27","Female","Warm",7.56,NA,"Brazil - Warm"
"548",25,3.571428571,"startexp","Brazil","N11","MANA","193x255_BZ27","Female","Warm",7.71,67,"Brazil - Warm"
"549",39,5.571428571,"na","Brazil","N11","MANA","193x255_BZ27","Female","Warm",10.01,74,"Brazil - Warm"
"550",47,6.714285714,"na","Brazil","N11","MANA","193x255_BZ27","Female","Warm",11.16,77.5,"Brazil - Warm"
"551",54,7.714285714,"na","Brazil","N11","MANA","193x255_BZ27","Female","Warm",11.63,78,"Brazil - Warm"
"552",69,9.857142857,"na","Brazil","N11","MANA","193x255_BZ27","Female","Warm",11.66,NA,"Brazil - Warm"
"553",71,10.14285714,"endexp","Brazil","N11","MANA","193x255_BZ27","Female","Warm",10.87,80.5,"Brazil - Warm"
"554",23,3.285714286,"weaning","Brazil","N11","MANA","193x255_BZ29","Female","Cold",6.78,NA,"Brazil - Cold"
"555",25,3.571428571,"startexp","Brazil","N11","MANA","193x255_BZ29","Female","Cold",6.73,NA,"Brazil - Cold"
"556",39,5.571428571,"na","Brazil","N11","MANA","193x255_BZ29","Female","Cold",9.89,NA,"Brazil - Cold"
"557",47,6.714285714,"na","Brazil","N11","MANA","193x255_BZ29","Female","Cold",10.83,NA,"Brazil - Cold"
"558",54,7.714285714,"na","Brazil","N11","MANA","193x255_BZ29","Female","Cold",10.67,NA,"Brazil - Cold"
"559",69,9.857142857,"na","Brazil","N11","MANA","193x255_BZ29","Female","Cold",11.53,NA,"Brazil - Cold"
"560",71,10.14285714,"endexp","Brazil","N11","MANA","193x255_BZ29","Female","Cold",11.34,73,"Brazil - Cold"
"561",25,3.571428571,"startexp","Brazil","N11","MANA","193x255_BZ22","Male","Warm",6.96,59,"Brazil - Warm"
"562",39,5.571428571,"na","Brazil","N11","MANA","193x255_BZ22","Male","Warm",11.01,71,"Brazil - Warm"
"563",48,6.857142857,"na","Brazil","N11","MANA","193x255_BZ22","Male","Warm",11.34,75,"Brazil - Warm"
"564",55,7.857142857,"na","Brazil","N11","MANA","193x255_BZ22","Male","Warm",12.05,75,"Brazil - Warm"
"565",68,9.714285714,"na","Brazil","N11","MANA","193x255_BZ22","Male","Warm",12.52,79,"Brazil - Warm"
"566",22,3.142857143,"weaning","Brazil","N11","SARA","19x13_NY11","Female","Cold",7.24,48,"Brazil - Cold"
"567",25,3.571428571,"startexp","Brazil","N11","SARA","19x13_NY11","Female","Cold",9.04,50.5,"Brazil - Cold"
"568",33,4.714285714,"na","NewYork","N11","SARA","19x13_NY11","Female","Cold",12.04,56.5,"New York - Cold"
"569",46,6.571428571,"na","NewYork","N11","SARA","19x13_NY11","Female","Cold",14.49,63.5,"New York - Cold"
"570",60,8.571428571,"na","NewYork","N11","SARA","19x13_NY11","Female","Cold",14.92,67.5,"New York - Cold"
"571",69,9.857142857,"na","NewYork","N11","SARA","19x13_NY11","Female","Cold",15.39,69,"New York - Cold"
"572",74,10.57142857,"endexp","NewYork","N11","SARA","19x13_NY11","Female","Cold",14.6,69,"New York - Cold"
"573",22,3.142857143,"weaning","NewYork","N11","SARA","19x13_NY13","Female","Cold",6.93,48,"New York - Cold"
"574",25,3.571428571,"startexp","NewYork","N11","SARA","19x13_NY13","Female","Cold",8.77,49,"New York - Cold"
"575",33,4.714285714,"na","NewYork","N11","SARA","19x13_NY13","Female","Cold",11.26,55,"New York - Cold"
"576",46,6.571428571,"na","NewYork","N11","SARA","19x13_NY13","Female","Cold",13.34,62.5,"New York - Cold"
"577",60,8.571428571,"na","NewYork","N11","SARA","19x13_NY13","Female","Cold",13.57,64.5,"New York - Cold"
"578",69,9.857142857,"na","NewYork","N11","SARA","19x13_NY13","Female","Cold",14.36,66,"New York - Cold"
"579",74,10.57142857,"endexp","NewYork","N11","SARA","19x13_NY13","Female","Cold",13.62,66,"New York - Cold"
"580",22,3.142857143,"weaning","NewYork","N11","SARA","19x13_NY14","Male","Cold",7.04,48,"New York - Cold"
"581",25,3.571428571,"startexp","NewYork","N11","SARA","19x13_NY14","Male","Cold",9.38,51.5,"New York - Cold"
"582",33,4.714285714,"na","NewYork","N11","SARA","19x13_NY14","Male","Cold",12.35,56,"New York - Cold"
"583",46,6.571428571,"na","NewYork","N11","SARA","19x13_NY14","Male","Cold",15.13,65,"New York - Cold"
"584",60,8.571428571,"na","NewYork","N11","SARA","19x13_NY14","Male","Cold",15.58,68.5,"New York - Cold"
"585",69,9.857142857,"na","NewYork","N11","SARA","19x13_NY14","Male","Cold",15.75,69.5,"New York - Cold"
"586",74,10.57142857,"endexp","NewYork","N11","SARA","19x13_NY14","Male","Cold",15.52,69.5,"New York - Cold"
"587",22,3.142857143,"weaning","NewYork","N11","SARA","19x13_NY15","Female","Warm",6.77,46.5,"New York - Warm"
"588",25,3.571428571,"startexp","NewYork","N11","SARA","19x13_NY15","Female","Warm",7.9,49.5,"New York - Warm"
"589",33,4.714285714,"na","NewYork","N11","SARA","19x13_NY15","Female","Warm",9.87,57,"New York - Warm"
"590",46,6.571428571,"na","NewYork","N11","SARA","19x13_NY15","Female","Warm",10.81,65,"New York - Warm"
"591",60,8.571428571,"na","NewYork","N11","SARA","19x13_NY15","Female","Warm",12.52,66.5,"New York - Warm"
"592",69,9.857142857,"na","NewYork","N11","SARA","19x13_NY15","Female","Warm",12.55,67.5,"New York - Warm"
"593",74,10.57142857,"endexp","NewYork","N11","SARA","19x13_NY15","Female","Warm",11.32,67.5,"New York - Warm"
"594",26,3.714285714,"startexp","NewYork","N11","SARA","19x13_NY16","Male","Cold",9.91,53.5,"New York - Cold"
"595",32,4.571428571,"na","NewYork","N11","SARA","19x13_NY16","Male","Cold",12.85,58.5,"New York - Cold"
"596",40,5.714285714,"na","NewYork","N11","SARA","19x13_NY16","Male","Cold",15.08,63,"New York - Cold"
"597",48,6.857142857,"na","NewYork","N11","SARA","19x13_NY16","Male","Cold",15.25,60,"New York - Cold"
"598",60,8.571428571,"na","NewYork","N11","SARA","19x13_NY16","Male","Cold",15.85,67.5,"New York - Cold"
"599",68,9.714285714,"na","NewYork","N11","SARA","19x13_NY16","Male","Cold",16.61,68,"New York - Cold"
"600",77,11,"endexp","NewYork","N11","SARA","19x13_NY16","Male","Cold",16.2,68,"New York - Cold"
"601",26,3.714285714,"startexp","NewYork","N11","SARA","19x13_NY17","Female","Cold",8.61,53.5,"New York - Cold"
"602",32,4.571428571,"na","NewYork","N11","SARA","19x13_NY17","Female","Cold",10.04,55,"New York - Cold"
"603",40,5.714285714,"na","NewYork","N11","SARA","19x13_NY17","Female","Cold",11.25,58,"New York - Cold"
"604",48,6.857142857,"na","NewYork","N11","SARA","19x13_NY17","Female","Cold",12.35,59,"New York - Cold"
"605",60,8.571428571,"na","NewYork","N11","SARA","19x13_NY17","Female","Cold",12.46,64,"New York - Cold"
"606",68,9.714285714,"na","NewYork","N11","SARA","19x13_NY17","Female","Cold",13.03,65,"New York - Cold"
"607",77,11,"endexp","NewYork","N11","SARA","19x13_NY17","Female","Cold",12.78,66.5,"New York - Cold"
"608",26,3.714285714,"startexp","NewYork","N11","SARA","19x13_NY18","Male","Warm",9.32,53.5,"New York - Warm"
"609",32,4.571428571,"na","NewYork","N11","SARA","19x13_NY18","Male","Warm",11.16,58,"New York - Warm"
"610",40,5.714285714,"na","NewYork","N11","SARA","19x13_NY18","Male","Warm",13.46,62.5,"New York - Warm"
"611",48,6.857142857,"na","NewYork","N11","SARA","19x13_NY18","Male","Warm",15.14,65.5,"New York - Warm"
"612",60,8.571428571,"na","NewYork","N11","SARA","19x13_NY18","Male","Warm",16.37,69,"New York - Warm"
"613",68,9.714285714,"na","NewYork","N11","SARA","19x13_NY18","Male","Warm",16.98,69,"New York - Warm"
"614",77,11,"endexp","NewYork","N11","SARA","19x13_NY18","Male","Warm",16,69,"New York - Warm"
"615",25,3.571428571,"startexp","Brazil","N11","MANA","193x255_BZ31","Female","Warm",7,64,"Brazil - Warm"
"616",34,4.857142857,"na","Brazil","N11","MANA","193x255_BZ31","Female","Warm",8.66,70.5,"Brazil - Warm"
"617",39,5.571428571,"na","Brazil","N11","MANA","193x255_BZ31","Female","Warm",9.4,73.5,"Brazil - Warm"
"618",46,6.571428571,"na","Brazil","N11","MANA","193x255_BZ31","Female","Warm",9.43,74.5,"Brazil - Warm"
"619",60,8.571428571,"na","Brazil","N11","MANA","193x255_BZ31","Female","Warm",10.12,75.5,"Brazil - Warm"
"620",69,9.857142857,"na","Brazil","N11","MANA","193x255_BZ31","Female","Warm",11.71,76,"Brazil - Warm"
"621",74,10.57142857,"endexp","Brazil","N11","MANA","193x255_BZ31","Female","Warm",11.61,79,"Brazil - Warm"
"622",25,3.571428571,"startexp","Brazil","N11","MANA","193x255_BZ33","Female","Cold",7.13,58.5,"Brazil - Cold"
"623",34,4.857142857,"na","Brazil","N11","MANA","193x255_BZ33","Female","Cold",9.75,65,"Brazil - Cold"
"624",39,5.571428571,"na","Brazil","N11","MANA","193x255_BZ33","Female","Cold",10.33,66.5,"Brazil - Cold"
"625",46,6.571428571,"na","Brazil","N11","MANA","193x255_BZ33","Female","Cold",10.29,70,"Brazil - Cold"
"626",60,8.571428571,"na","Brazil","N11","MANA","193x255_BZ33","Female","Cold",11.68,NA,"Brazil - Cold"
"627",69,9.857142857,"na","Brazil","N11","MANA","193x255_BZ33","Female","Cold",11.11,NA,"Brazil - Cold"
"628",74,10.57142857,"endexp","Brazil","N11","MANA","193x255_BZ33","Female","Cold",11.81,71,"Brazil - Cold"
"629",26,3.714285714,"startexp","Brazil","N11","MANA","193x255_BZ26","Male","Cold",7.19,65,"Brazil - Cold"
"630",32,4.571428571,"na","Brazil","N11","MANA","193x255_BZ26","Male","Cold",8.68,65.5,"Brazil - Cold"
"631",41,5.857142857,"na","Brazil","N11","MANA","193x255_BZ26","Male","Cold",10.3,67,"Brazil - Cold"
"632",53,7.571428571,"na","Brazil","N11","MANA","193x255_BZ26","Male","Cold",11.47,72,"Brazil - Cold"
"633",60,8.571428571,"na","Brazil","N11","MANA","193x255_BZ26","Male","Cold",12.18,72,"Brazil - Cold"
"634",76,10.85714286,"na","Brazil","N11","MANA","193x255_BZ26","Male","Cold",12.12,NA,"Brazil - Cold"
"635",80,11.42857143,"endexp","Brazil","N11","MANA","193x255_BZ26","Male","Cold",12.87,72.5,"Brazil - Cold"
"636",26,3.714285714,"startexp","Brazil","N11","MANA","193x255_BZ28","Male","Cold",7.91,63.5,"Brazil - Cold"
"637",32,4.571428571,"na","Brazil","N11","MANA","193x255_BZ28","Male","Cold",9.5,65,"Brazil - Cold"
"638",41,5.857142857,"na","Brazil","N11","MANA","193x255_BZ28","Male","Cold",11.11,68.5,"Brazil - Cold"
"639",53,7.571428571,"na","Brazil","N11","MANA","193x255_BZ28","Male","Cold",11.86,71,"Brazil - Cold"
"640",60,8.571428571,"na","Brazil","N11","MANA","193x255_BZ28","Male","Cold",12.82,74.5,"Brazil - Cold"
"641",76,10.85714286,"na","Brazil","N11","MANA","193x255_BZ28","Male","Cold",13.88,NA,"Brazil - Cold"
"642",79,11.28571429,"endexp","Brazil","N11","MANA","193x255_BZ28","Male","Cold",14.05,75,"Brazil - Cold"
"643",26,3.714285714,"startexp","Brazil","N11","MANA","193x255_BZ30","Male","Warm",8.12,69,"Brazil - Warm"
"644",32,4.571428571,"na","Brazil","N11","MANA","193x255_BZ30","Male","Warm",9.79,71.5,"Brazil - Warm"
"645",41,5.857142857,"na","Brazil","N11","MANA","193x255_BZ30","Male","Warm",11.06,76.5,"Brazil - Warm"
"646",53,7.571428571,"na","Brazil","N11","MANA","193x255_BZ30","Male","Warm",11.63,81,"Brazil - Warm"
"647",60,8.571428571,"na","Brazil","N11","MANA","193x255_BZ30","Male","Warm",12.58,82,"Brazil - Warm"
"648",76,10.85714286,"na","Brazil","N11","MANA","193x255_BZ30","Male","Warm",13.93,NA,"Brazil - Warm"
"649",79,11.28571429,"endexp","Brazil","N11","MANA","193x255_BZ30","Male","Warm",14.05,83,"Brazil - Warm"
"650",25,3.571428571,"startexp","NewYork","N12","SARA","19x13_NY23","Female","Cold",10.29,63.5,"New York - Cold"
"651",34,4.857142857,"na","NewYork","N12","SARA","19x13_NY23","Female","Cold",14.61,69,"New York - Cold"
"652",40,5.714285714,"na","NewYork","N12","SARA","19x13_NY23","Female","Cold",16,71,"New York - Cold"
"653",46,6.571428571,"na","NewYork","N12","SARA","19x13_NY23","Female","Cold",15.98,72,"New York - Cold"
"654",54,7.714285714,"na","NewYork","N12","SARA","19x13_NY23","Female","Cold",15.71,73.5,"New York - Cold"
"655",75,10.71428571,"endexp","NewYork","N12","SARA","19x13_NY23","Female","Cold",16.69,74.5,"New York - Cold"
"656",25,3.571428571,"startexp","NewYork","N12","SARA","19x13_NY24","Male","Warm",10.69,57.5,"New York - Warm"
"657",34,4.857142857,"na","NewYork","N12","SARA","19x13_NY24","Male","Warm",15.6,70.5,"New York - Warm"
"658",40,5.714285714,"na","NewYork","N12","SARA","19x13_NY24","Male","Warm",17.12,71.5,"New York - Warm"
"659",46,6.571428571,"na","NewYork","N12","SARA","19x13_NY24","Male","Warm",15.81,70.5,"New York - Warm"
"660",54,7.714285714,"na","NewYork","N12","SARA","19x13_NY24","Male","Warm",16.44,73,"New York - Warm"
"661",73,10.42857143,"endexp","NewYork","N12","SARA","19x13_NY24","Male","Warm",17.95,73,"New York - Warm"
"662",25,3.571428571,"startexp","NewYork","N12","SARA","19x13_NY25","Female","Warm",8.93,59,"New York - Warm"
"663",34,4.857142857,"na","NewYork","N12","SARA","19x13_NY25","Female","Warm",12.28,66.5,"New York - Warm"
"664",40,5.714285714,"na","NewYork","N12","SARA","19x13_NY25","Female","Warm",13.09,67.5,"New York - Warm"
"665",46,6.571428571,"na","NewYork","N12","SARA","19x13_NY25","Female","Warm",12.86,68.5,"New York - Warm"
"666",54,7.714285714,"na","NewYork","N12","SARA","19x13_NY25","Female","Warm",13.12,68.5,"New York - Warm"
"667",75,10.71428571,"endexp","NewYork","N12","SARA","19x13_NY25","Female","Warm",14.08,70.5,"New York - Warm"
"668",25,3.571428571,"startexp","NewYork","N12","SARA","19x13_NY26","Male","Cold",10.61,65,"New York - Cold"
"669",34,4.857142857,"na","NewYork","N12","SARA","19x13_NY26","Male","Cold",12.99,68,"New York - Cold"
"670",40,5.714285714,"na","NewYork","N12","SARA","19x13_NY26","Male","Cold",13.82,69,"New York - Cold"
"671",46,6.571428571,"na","NewYork","N12","SARA","19x13_NY26","Male","Cold",14.65,70.5,"New York - Cold"
"672",54,7.714285714,"na","NewYork","N12","SARA","19x13_NY26","Male","Cold",14.98,72,"New York - Cold"
"673",73,10.42857143,"endexp","NewYork","N12","SARA","19x13_NY26","Male","Cold",17.3,73,"New York - Cold"
"674",25,3.571428571,"startexp","NewYork","N12","SARA","19x13_NY32","Male","Cold",9.63,60.5,"New York - Cold"
"675",32,4.571428571,"na","NewYork","N12","SARA","19x13_NY32","Male","Cold",13.56,67,"New York - Cold"
"676",45,6.428571429,"na","NewYork","N12","SARA","19x13_NY32","Male","Cold",17.52,NA,"New York - Cold"
"677",82,11.71428571,"endexp","NewYork","N12","SARA","19x13_NY32","Male","Cold",17.44,73,"New York - Cold"
"678",25,3.571428571,"startexp","NewYork","N12","SARA","19x13_NY33","Female","Warm",10.62,61,"New York - Warm"
"679",32,4.571428571,"na","NewYork","N12","SARA","19x13_NY33","Female","Warm",12.61,65,"New York - Warm"
"680",45,6.428571429,"na","NewYork","N12","SARA","19x13_NY33","Female","Warm",14.24,NA,"New York - Warm"
"681",82,11.71428571,"endexp","NewYork","N12","SARA","19x13_NY33","Female","Warm",17.23,72,"New York - Warm"
"682",25,3.571428571,"startexp","NewYork","N12","SARA","19x13_NY34","Male","Warm",9.22,58,"New York - Warm"
"683",32,4.571428571,"na","NewYork","N12","SARA","19x13_NY34","Male","Warm",11.1,64,"New York - Warm"
"684",45,6.428571429,"na","NewYork","N12","SARA","19x13_NY34","Male","Warm",12.63,NA,"New York - Warm"
"685",82,11.71428571,"endexp","NewYork","N12","SARA","19x13_NY34","Male","Warm",16.31,72,"New York - Warm"
