DOB,DateMeasured,Age_days,Age_weeks,Age_category,Population,Generation,Line,Mouse_ID,Sex,Environment,Body_Weight_g,Tail_Length_mm,PopEnv
7/17/18,9/29/18,74,10.57,endexp,Brazil,N11,MANA,193x255_BZ1,Female,Cold,10.89,72.5,Brazil - Cold
7/17/18,9/29/18,74,10.57,endexp,Brazil,N11,MANA,193x255_BZ2,Male,Warm,10.35,76,Brazil - Warm
7/17/18,9/29/18,74,10.57,endexp,Brazil,N11,MANA,193x255_BZ4,Male,Warm,14.42,83,Brazil - Warm
7/17/18,9/29/18,74,10.57,endexp,Brazil,N11,MANA,193x255_BZ6,Male,Cold,12.52,73,Brazil - Cold
8/13/18,10/27/18,75,10.71,endexp,Brazil,N11,MANA,193x255_BZ3,Female,Cold,10.95,72.5,Brazil - Cold
8/13/18,10/27/18,75,10.71,endexp,Brazil,N11,MANA,193x255_BZ5,Female,Warm,9.38,74.5,Brazil - Warm
8/13/18,10/27/18,75,10.71,endexp,Brazil,N11,MANA,193x255_BZ7,Female,Warm,12.03,81,Brazil - Warm
8/13/18,10/27/18,75,10.71,endexp,Brazil,N11,MANA,193x255_BZ8,Male,Cold,12.92,76,Brazil - Cold
8/13/18,10/27/18,75,10.71,endexp,Brazil,N11,MANA,193x255_BZ9,Female,Warm,11.39,79.5,Brazil - Warm
9/8/18,11/21/18,74,10.57,endexp,Brazil,N11,MANA,193x255_BZ11,Female,Warm,10.71,79.5,Brazil - Warm
9/8/18,11/21/18,74,10.57,endexp,Brazil,N11,MANA,193x255_BZ10,Male,Warm,12.78,78.5,Brazil - Warm
9/8/18,11/21/18,74,10.57,endexp,Brazil,N11,MANA,193x255_BZ12,Male,Cold,13.18,76,Brazil - Cold
9/8/18,11/21/18,74,10.57,endexp,Brazil,N11,MANA,193x255_BZ14,Male,Warm,10.96,78,Brazil - Warm
9/8/18,11/21/18,74,10.57,endexp,Brazil,N11,MANA,193x255_BZ13,Male,Cold,11.59,70.5,Brazil - Cold
10/29/18,1/16/19,79,11.29,endexp,Brazil,N11,MANA,193x255_BZ19,Female,Cold,10.86,71,Brazil - Cold
10/29/18,1/16/19,79,11.29,endexp,Brazil,N11,MANA,193x255_BZ21,Female,Cold,11.83,73,Brazil - Cold
10/29/18,1/16/19,79,11.29,endexp,Brazil,N11,MANA,193x255_BZ23,Female,Warm,11.79,77.5,Brazil - Warm
11/23/18,2/2/19,71,10.14,endexp,Brazil,N11,MANA,193x255_BZ18,Male,Warm,10.92,80,Brazil - Warm
11/23/18,2/2/19,71,10.14,endexp,Brazil,N11,MANA,193x255_BZ20,Male,Cold,12.29,74,Brazil - Cold
11/23/18,2/2/19,71,10.14,endexp,Brazil,N11,MANA,193x255_BZ25,Female,Cold,11.62,75.5,Brazil - Cold
11/23/18,2/2/19,71,10.14,endexp,Brazil,N11,MANA,193x255_BZ27,Female,Warm,10.87,80.5,Brazil - Warm
11/23/18,2/2/19,71,10.14,endexp,Brazil,N11,MANA,193x255_BZ29,Female,Cold,11.34,73,Brazil - Cold
12/18/18,3/2/19,74,10.57,endexp,Brazil,N11,MANA,193x255_BZ31,Female,Warm,11.61,79,Brazil - Warm
12/18/18,3/2/19,74,10.57,endexp,Brazil,N11,MANA,193x255_BZ33,Female,Cold,11.81,71,Brazil - Cold
2/1/19,4/22/19,80,11.43,endexp,Brazil,N11,MANA,193x255_BZ26,Male,Cold,12.87,72.5,Brazil - Cold
2/1/19,4/21/19,79,11.29,endexp,Brazil,N11,MANA,193x255_BZ28,Male,Cold,14.05,75,Brazil - Cold
2/1/19,4/21/19,79,11.29,endexp,Brazil,N11,MANA,193x255_BZ30,Male,Warm,14.05,83,Brazil - Warm
7/17/18,8/18/18,32,4.57,na,Brazil,N11,MANA,193x255_BZ1,Female,Cold,8.55,64.5,Brazil - Cold
7/17/18,8/18/18,32,4.57,na,Brazil,N11,MANA,193x255_BZ2,Male,Warm,8.46,62.5,Brazil - Warm
7/17/18,8/18/18,32,4.57,na,Brazil,N11,MANA,193x255_BZ4,Male,Warm,10.12,69,Brazil - Warm
7/17/18,8/18/18,32,4.57,na,Brazil,N11,MANA,193x255_BZ6,Male,Cold,9.76,65,Brazil - Cold
7/17/18,8/25/18,39,5.57,na,Brazil,N11,MANA,193x255_BZ1,Female,Cold,9.13,65.5,Brazil - Cold
7/17/18,8/25/18,39,5.57,na,Brazil,N11,MANA,193x255_BZ2,Male,Warm,9.21,67,Brazil - Warm
7/17/18,8/25/18,39,5.57,na,Brazil,N11,MANA,193x255_BZ4,Male,Warm,12.2,73.5,Brazil - Warm
7/17/18,8/25/18,39,5.57,na,Brazil,N11,MANA,193x255_BZ6,Male,Cold,10.74,66.5,Brazil - Cold
7/17/18,9/1/18,46,6.57,na,Brazil,N11,MANA,193x255_BZ1,Female,Cold,10.11,67.5,Brazil - Cold
7/17/18,9/1/18,46,6.57,na,Brazil,N11,MANA,193x255_BZ2,Male,Warm,9.02,70.5,Brazil - Warm
7/17/18,9/1/18,46,6.57,na,Brazil,N11,MANA,193x255_BZ4,Male,Warm,12.97,77.5,Brazil - Warm
7/17/18,9/1/18,46,6.57,na,Brazil,N11,MANA,193x255_BZ6,Male,Cold,11.58,71,Brazil - Cold
7/17/18,9/9/18,54,7.71,na,Brazil,N11,MANA,193x255_BZ1,Female,Cold,10.9,70,Brazil - Cold
7/17/18,9/9/18,54,7.71,na,Brazil,N11,MANA,193x255_BZ2,Male,Warm,9.78,74,Brazil - Warm
7/17/18,9/9/18,54,7.71,na,Brazil,N11,MANA,193x255_BZ4,Male,Warm,13.5,79,Brazil - Warm
7/17/18,9/9/18,54,7.71,na,Brazil,N11,MANA,193x255_BZ6,Male,Cold,11.69,71.5,Brazil - Cold
7/17/18,9/16/18,61,8.71,na,Brazil,N11,MANA,193x255_BZ1,Female,Cold,10.96,71,Brazil - Cold
7/17/18,9/16/18,61,8.71,na,Brazil,N11,MANA,193x255_BZ2,Male,Warm,10.16,74,Brazil - Warm
7/17/18,9/16/18,61,8.71,na,Brazil,N11,MANA,193x255_BZ4,Male,Warm,13.93,82.5,Brazil - Warm
7/17/18,9/16/18,61,8.71,na,Brazil,N11,MANA,193x255_BZ6,Male,Cold,11.95,73,Brazil - Cold
7/17/18,9/23/18,68,9.71,na,Brazil,N11,MANA,193x255_BZ1,Female,Cold,10.92,72,Brazil - Cold
7/17/18,9/23/18,68,9.71,na,Brazil,N11,MANA,193x255_BZ2,Male,Warm,10.18,76,Brazil - Warm
7/17/18,9/23/18,68,9.71,na,Brazil,N11,MANA,193x255_BZ4,Male,Warm,14.36,83,Brazil - Warm
7/17/18,9/23/18,68,9.71,na,Brazil,N11,MANA,193x255_BZ6,Male,Cold,11.98,73,Brazil - Cold
8/13/18,9/14/18,32,4.57,na,Brazil,N11,MANA,193x255_BZ3,Female,Cold,8.31,65,Brazil - Cold
8/13/18,9/14/18,32,4.57,na,Brazil,N11,MANA,193x255_BZ5,Female,Warm,7.22,61.5,Brazil - Warm
8/13/18,9/14/18,32,4.57,na,Brazil,N11,MANA,193x255_BZ7,Female,Warm,9.7,71.5,Brazil - Warm
8/13/18,9/14/18,32,4.57,na,Brazil,N11,MANA,193x255_BZ8,Male,Cold,9.66,67,Brazil - Cold
8/13/18,9/14/18,32,4.57,na,Brazil,N11,MANA,193x255_BZ9,Female,Warm,9.46,70.5,Brazil - Warm
8/13/18,9/22/18,40,5.71,na,Brazil,N11,MANA,193x255_BZ3,Female,Cold,9.65,67.5,Brazil - Cold
8/13/18,9/22/18,40,5.71,na,Brazil,N11,MANA,193x255_BZ5,Female,Warm,8.21,66.5,Brazil - Warm
8/13/18,9/22/18,40,5.71,na,Brazil,N11,MANA,193x255_BZ7,Female,Warm,11.33,76.5,Brazil - Warm
8/13/18,9/22/18,40,5.71,na,Brazil,N11,MANA,193x255_BZ8,Male,Cold,11.28,70.5,Brazil - Cold
8/13/18,9/22/18,40,5.71,na,Brazil,N11,MANA,193x255_BZ9,Female,Warm,10.81,75.5,Brazil - Warm
8/13/18,9/28/18,46,6.57,na,Brazil,N11,MANA,193x255_BZ3,Female,Cold,10.13,68.5,Brazil - Cold
8/13/18,9/28/18,46,6.57,na,Brazil,N11,MANA,193x255_BZ5,Female,Warm,8.64,69,Brazil - Warm
8/13/18,9/28/18,46,6.57,na,Brazil,N11,MANA,193x255_BZ7,Female,Warm,11.56,77,Brazil - Warm
8/13/18,9/28/18,46,6.57,na,Brazil,N11,MANA,193x255_BZ8,Male,Cold,11.78,71,Brazil - Cold
8/13/18,9/28/18,46,6.57,na,Brazil,N11,MANA,193x255_BZ9,Female,Warm,10.84,76,Brazil - Warm
8/13/18,10/6/18,54,7.71,na,Brazil,N11,MANA,193x255_BZ3,Female,Cold,10.51,69.5,Brazil - Cold
8/13/18,10/6/18,54,7.71,na,Brazil,N11,MANA,193x255_BZ5,Female,Warm,9.57,71,Brazil - Warm
8/13/18,10/6/18,54,7.71,na,Brazil,N11,MANA,193x255_BZ7,Female,Warm,12.28,79.5,Brazil - Warm
8/13/18,10/6/18,54,7.71,na,Brazil,N11,MANA,193x255_BZ8,Male,Cold,11.82,73,Brazil - Cold
8/13/18,10/6/18,54,7.71,na,Brazil,N11,MANA,193x255_BZ9,Female,Warm,11.2,76,Brazil - Warm
8/13/18,10/12/18,60,8.57,na,Brazil,N11,MANA,193x255_BZ3,Female,Cold,10.47,71.5,Brazil - Cold
8/13/18,10/12/18,60,8.57,na,Brazil,N11,MANA,193x255_BZ5,Female,Warm,9.26,72,Brazil - Warm
8/13/18,10/12/18,60,8.57,na,Brazil,N11,MANA,193x255_BZ7,Female,Warm,11.88,79.5,Brazil - Warm
8/13/18,10/12/18,60,8.57,na,Brazil,N11,MANA,193x255_BZ8,Male,Cold,12.27,74,Brazil - Cold
8/13/18,10/12/18,60,8.57,na,Brazil,N11,MANA,193x255_BZ9,Female,Warm,11.01,79,Brazil - Warm
8/13/18,10/19/18,67,9.57,na,Brazil,N11,MANA,193x255_BZ3,Female,Cold,10.94,72,Brazil - Cold
8/13/18,10/19/18,67,9.57,na,Brazil,N11,MANA,193x255_BZ5,Female,Warm,9.69,74.5,Brazil - Warm
8/13/18,10/19/18,67,9.57,na,Brazil,N11,MANA,193x255_BZ7,Female,Warm,12.14,80,Brazil - Warm
8/13/18,10/19/18,67,9.57,na,Brazil,N11,MANA,193x255_BZ8,Male,Cold,12.52,75.5,Brazil - Cold
8/13/18,10/19/18,67,9.57,na,Brazil,N11,MANA,193x255_BZ9,Female,Warm,11.63,79,Brazil - Warm
9/8/18,10/10/18,32,4.57,na,Brazil,N11,MANA,193x255_BZ11,Female,Warm,8.56,67.5,Brazil - Warm
9/8/18,10/17/18,39,5.57,na,Brazil,N11,MANA,193x255_BZ11,Female,Warm,9.85,71,Brazil - Warm
9/8/18,10/24/18,46,6.57,na,Brazil,N11,MANA,193x255_BZ11,Female,Warm,10.12,73.5,Brazil - Warm
9/8/18,10/31/18,53,7.57,na,Brazil,N11,MANA,193x255_BZ11,Female,Warm,10.54,76,Brazil - Warm
9/8/18,11/7/18,60,8.57,na,Brazil,N11,MANA,193x255_BZ11,Female,Warm,10.75,77,Brazil - Warm
9/8/18,11/14/18,67,9.57,na,Brazil,N11,MANA,193x255_BZ11,Female,Warm,10.92,78,Brazil - Warm
9/8/18,10/10/18,32,4.57,na,Brazil,N11,MANA,193x255_BZ10,Male,Warm,9.75,64.5,Brazil - Warm
9/8/18,10/17/18,39,5.57,na,Brazil,N11,MANA,193x255_BZ10,Male,Warm,11.11,70,Brazil - Warm
9/8/18,10/24/18,46,6.57,na,Brazil,N11,MANA,193x255_BZ10,Male,Warm,11.76,73.5,Brazil - Warm
9/8/18,10/31/18,53,7.57,na,Brazil,N11,MANA,193x255_BZ10,Male,Warm,12.32,75.5,Brazil - Warm
9/8/18,11/7/18,60,8.57,na,Brazil,N11,MANA,193x255_BZ10,Male,Warm,12.27,77,Brazil - Warm
9/8/18,11/14/18,67,9.57,na,Brazil,N11,MANA,193x255_BZ10,Male,Warm,12.56,78.5,Brazil - Warm
9/8/18,10/10/18,32,4.57,na,Brazil,N11,MANA,193x255_BZ12,Male,Cold,8.89,64,Brazil - Cold
9/8/18,10/17/18,39,5.57,na,Brazil,N11,MANA,193x255_BZ12,Male,Cold,10.8,67,Brazil - Cold
9/8/18,10/24/18,46,6.57,na,Brazil,N11,MANA,193x255_BZ12,Male,Cold,11.41,70,Brazil - Cold
9/8/18,10/31/18,53,7.57,na,Brazil,N11,MANA,193x255_BZ12,Male,Cold,11.64,70.5,Brazil - Cold
9/8/18,11/7/18,60,8.57,na,Brazil,N11,MANA,193x255_BZ12,Male,Cold,12.08,72.5,Brazil - Cold
9/8/18,11/14/18,67,9.57,na,Brazil,N11,MANA,193x255_BZ12,Male,Cold,12.55,73,Brazil - Cold
9/8/18,10/10/18,32,4.57,na,Brazil,N11,MANA,193x255_BZ14,Male,Warm,7.6,64,Brazil - Warm
9/8/18,10/17/18,39,5.57,na,Brazil,N11,MANA,193x255_BZ14,Male,Warm,8.96,67,Brazil - Warm
9/8/18,10/24/18,46,6.57,na,Brazil,N11,MANA,193x255_BZ14,Male,Warm,9.7,70,Brazil - Warm
9/8/18,10/31/18,53,7.57,na,Brazil,N11,MANA,193x255_BZ14,Male,Warm,10.58,75.5,Brazil - Warm
9/8/18,11/7/18,60,8.57,na,Brazil,N11,MANA,193x255_BZ14,Male,Warm,10.99,76,Brazil - Warm
9/8/18,11/14/18,67,9.57,na,Brazil,N11,MANA,193x255_BZ14,Male,Warm,10.98,76,Brazil - Warm
9/8/18,10/10/18,32,4.57,na,Brazil,N11,MANA,193x255_BZ13,Male,Cold,7.5,59,Brazil - Cold
9/8/18,10/17/18,39,5.57,na,Brazil,N11,MANA,193x255_BZ13,Male,Cold,8.98,62,Brazil - Cold
9/8/18,10/24/18,46,6.57,na,Brazil,N11,MANA,193x255_BZ13,Male,Cold,9.79,64.5,Brazil - Cold
9/8/18,10/31/18,53,7.57,na,Brazil,N11,MANA,193x255_BZ13,Male,Cold,10.26,66.5,Brazil - Cold
9/8/18,11/7/18,60,8.57,na,Brazil,N11,MANA,193x255_BZ13,Male,Cold,10.74,68,Brazil - Cold
9/8/18,11/14/18,67,9.57,na,Brazil,N11,MANA,193x255_BZ13,Male,Cold,11.26,70,Brazil - Cold
10/29/18,12/2/18,34,4.86,na,Brazil,N11,MANA,193x255_BZ19,Female,Cold,8.72,64.5,Brazil - Cold
10/29/18,12/16/18,48,6.86,na,Brazil,N11,MANA,193x255_BZ19,Female,Cold,9.94,67.5,Brazil - Cold
10/29/18,12/29/18,61,8.71,na,Brazil,N11,MANA,193x255_BZ19,Female,Cold,10.03,70,Brazil - Cold
10/29/18,1/10/19,73,10.43,na,Brazil,N11,MANA,193x255_BZ19,Female,Cold,10.72,NA,Brazil - Cold
10/29/18,12/2/18,34,4.86,na,Brazil,N11,MANA,193x255_BZ21,Female,Cold,9.26,65,Brazil - Cold
10/29/18,12/16/18,48,6.86,na,Brazil,N11,MANA,193x255_BZ21,Female,Cold,11.85,70.5,Brazil - Cold
10/29/18,12/29/18,61,8.71,na,Brazil,N11,MANA,193x255_BZ21,Female,Cold,11.32,72.5,Brazil - Cold
10/29/18,1/10/19,73,10.43,na,Brazil,N11,MANA,193x255_BZ21,Female,Cold,11.91,NA,Brazil - Cold
10/29/18,12/2/18,34,4.86,na,Brazil,N11,MANA,193x255_BZ23,Female,Warm,9.22,66.5,Brazil - Warm
10/29/18,12/16/18,48,6.86,na,Brazil,N11,MANA,193x255_BZ23,Female,Warm,11.13,73.5,Brazil - Warm
10/29/18,12/29/18,61,8.71,na,Brazil,N11,MANA,193x255_BZ23,Female,Warm,11.63,77,Brazil - Warm
10/29/18,1/10/19,73,10.43,na,Brazil,N11,MANA,193x255_BZ23,Female,Warm,11.44,NA,Brazil - Warm
11/23/18,1/1/19,39,5.57,na,Brazil,N11,MANA,193x255_BZ18,Male,Warm,9.76,70,Brazil - Warm
11/23/18,1/9/19,47,6.71,na,Brazil,N11,MANA,193x255_BZ18,Male,Warm,10.31,75.5,Brazil - Warm
11/23/18,1/16/19,54,7.71,na,Brazil,N11,MANA,193x255_BZ18,Male,Warm,10.38,75.5,Brazil - Warm
11/23/18,1/31/19,69,9.86,na,Brazil,N11,MANA,193x255_BZ18,Male,Warm,10.91,NA,Brazil - Warm
11/23/18,1/1/19,39,5.57,na,Brazil,N11,MANA,193x255_BZ20,Male,Cold,11.28,68,Brazil - Cold
11/23/18,1/9/19,47,6.71,na,Brazil,N11,MANA,193x255_BZ20,Male,Cold,11.2,69,Brazil - Cold
11/23/18,1/16/19,54,7.71,na,Brazil,N11,MANA,193x255_BZ20,Male,Cold,11.35,72.5,Brazil - Cold
11/23/18,1/31/19,69,9.86,na,Brazil,N11,MANA,193x255_BZ20,Male,Cold,12.18,NA,Brazil - Cold
11/23/18,1/1/19,39,5.57,na,Brazil,N11,MANA,193x255_BZ25,Female,Cold,10.54,67.5,Brazil - Cold
11/23/18,1/9/19,47,6.71,na,Brazil,N11,MANA,193x255_BZ25,Female,Cold,11.13,72,Brazil - Cold
11/23/18,1/16/19,54,7.71,na,Brazil,N11,MANA,193x255_BZ25,Female,Cold,10.92,73.5,Brazil - Cold
11/23/18,1/31/19,69,9.86,na,Brazil,N11,MANA,193x255_BZ25,Female,Cold,11.72,NA,Brazil - Cold
11/23/18,1/1/19,39,5.57,na,Brazil,N11,MANA,193x255_BZ27,Female,Warm,10.01,74,Brazil - Warm
11/23/18,1/9/19,47,6.71,na,Brazil,N11,MANA,193x255_BZ27,Female,Warm,11.16,77.5,Brazil - Warm
11/23/18,1/16/19,54,7.71,na,Brazil,N11,MANA,193x255_BZ27,Female,Warm,11.63,78,Brazil - Warm
11/23/18,1/31/19,69,9.86,na,Brazil,N11,MANA,193x255_BZ27,Female,Warm,11.66,NA,Brazil - Warm
11/23/18,1/1/19,39,5.57,na,Brazil,N11,MANA,193x255_BZ29,Female,Cold,9.89,NA,Brazil - Cold
11/23/18,1/9/19,47,6.71,na,Brazil,N11,MANA,193x255_BZ29,Female,Cold,10.83,NA,Brazil - Cold
11/23/18,1/16/19,54,7.71,na,Brazil,N11,MANA,193x255_BZ29,Female,Cold,10.67,NA,Brazil - Cold
11/23/18,1/31/19,69,9.86,na,Brazil,N11,MANA,193x255_BZ29,Female,Cold,11.53,NA,Brazil - Cold
12/18/18,1/21/19,34,4.86,na,Brazil,N11,MANA,193x255_BZ31,Female,Warm,8.66,70.5,Brazil - Warm
12/18/18,1/26/19,39,5.57,na,Brazil,N11,MANA,193x255_BZ31,Female,Warm,9.4,73.5,Brazil - Warm
12/18/18,2/2/19,46,6.57,na,Brazil,N11,MANA,193x255_BZ31,Female,Warm,9.43,74.5,Brazil - Warm
12/18/18,2/16/19,60,8.57,na,Brazil,N11,MANA,193x255_BZ31,Female,Warm,10.12,75.5,Brazil - Warm
12/18/18,2/25/19,69,9.86,na,Brazil,N11,MANA,193x255_BZ31,Female,Warm,11.71,76,Brazil - Warm
12/18/18,1/21/19,34,4.86,na,Brazil,N11,MANA,193x255_BZ33,Female,Cold,9.75,65,Brazil - Cold
12/18/18,1/26/19,39,5.57,na,Brazil,N11,MANA,193x255_BZ33,Female,Cold,10.33,66.5,Brazil - Cold
12/18/18,2/2/19,46,6.57,na,Brazil,N11,MANA,193x255_BZ33,Female,Cold,10.29,70,Brazil - Cold
12/18/18,2/16/19,60,8.57,na,Brazil,N11,MANA,193x255_BZ33,Female,Cold,11.68,NA,Brazil - Cold
12/18/18,2/25/19,69,9.86,na,Brazil,N11,MANA,193x255_BZ33,Female,Cold,11.11,NA,Brazil - Cold
2/1/19,3/5/19,32,4.57,na,Brazil,N11,MANA,193x255_BZ26,Male,Cold,8.68,65.5,Brazil - Cold
2/1/19,3/14/19,41,5.86,na,Brazil,N11,MANA,193x255_BZ26,Male,Cold,10.3,67,Brazil - Cold
2/1/19,3/26/19,53,7.57,na,Brazil,N11,MANA,193x255_BZ26,Male,Cold,11.47,72,Brazil - Cold
2/1/19,4/2/19,60,8.57,na,Brazil,N11,MANA,193x255_BZ26,Male,Cold,12.18,72,Brazil - Cold
2/1/19,4/18/19,76,10.86,na,Brazil,N11,MANA,193x255_BZ26,Male,Cold,12.12,NA,Brazil - Cold
2/1/19,3/5/19,32,4.57,na,Brazil,N11,MANA,193x255_BZ28,Male,Cold,9.5,65,Brazil - Cold
2/1/19,3/14/19,41,5.86,na,Brazil,N11,MANA,193x255_BZ28,Male,Cold,11.11,68.5,Brazil - Cold
2/1/19,3/26/19,53,7.57,na,Brazil,N11,MANA,193x255_BZ28,Male,Cold,11.86,71,Brazil - Cold
2/1/19,4/2/19,60,8.57,na,Brazil,N11,MANA,193x255_BZ28,Male,Cold,12.82,74.5,Brazil - Cold
2/1/19,4/18/19,76,10.86,na,Brazil,N11,MANA,193x255_BZ28,Male,Cold,13.88,NA,Brazil - Cold
2/1/19,3/5/19,32,4.57,na,Brazil,N11,MANA,193x255_BZ30,Male,Warm,9.79,71.5,Brazil - Warm
2/1/19,3/14/19,41,5.86,na,Brazil,N11,MANA,193x255_BZ30,Male,Warm,11.06,76.5,Brazil - Warm
