"","DOB","DateMeasured","Age_days","Age_weeks","Age_category","Population","Generation","Line","Mouse_ID","Sex","Environment","Body_Weight_g","Tail_Length_mm","PopEnv"
"1","7/17/18","9/29/18",74,10.57,"endexp","Brazil","N11","MANA","193x255_BZ1","Female","Cold",10.89,72.5,"Brazil - Cold"
"2","7/17/18","9/29/18",74,10.57,"endexp","Brazil","N11","MANA","193x255_BZ2","Male","Warm",10.35,76,"Brazil - Warm"
"3","7/17/18","9/29/18",74,10.57,"endexp","Brazil","N11","MANA","193x255_BZ4","Male","Warm",14.42,83,"Brazil - Warm"
"4","7/17/18","9/29/18",74,10.57,"endexp","Brazil","N11","MANA","193x255_BZ6","Male","Cold",12.52,73,"Brazil - Cold"
"5","8/13/18","10/27/18",75,10.71,"endexp","Brazil","N11","MANA","193x255_BZ3","Female","Cold",10.95,72.5,"Brazil - Cold"
"6","8/13/18","10/27/18",75,10.71,"endexp","Brazil","N11","MANA","193x255_BZ5","Female","Warm",9.38,74.5,"Brazil - Warm"
"7","8/13/18","10/27/18",75,10.71,"endexp","Brazil","N11","MANA","193x255_BZ7","Female","Warm",12.03,81,"Brazil - Warm"
"8","8/13/18","10/27/18",75,10.71,"endexp","Brazil","N11","MANA","193x255_BZ8","Male","Cold",12.92,76,"Brazil - Cold"
"9","8/13/18","10/27/18",75,10.71,"endexp","Brazil","N11","MANA","193x255_BZ9","Female","Warm",11.39,79.5,"Brazil - Warm"
"10","9/8/18","11/21/18",74,10.57,"endexp","Brazil","N11","MANA","193x255_BZ11","Female","Warm",10.71,79.5,"Brazil - Warm"
"11","9/8/18","11/21/18",74,10.57,"endexp","Brazil","N11","MANA","193x255_BZ10","Male","Warm",12.78,78.5,"Brazil - Warm"
"12","9/8/18","11/21/18",74,10.57,"endexp","Brazil","N11","MANA","193x255_BZ12","Male","Cold",13.18,76,"Brazil - Cold"
"13","9/8/18","11/21/18",74,10.57,"endexp","Brazil","N11","MANA","193x255_BZ14","Male","Warm",10.96,78,"Brazil - Warm"
"14","9/8/18","11/21/18",74,10.57,"endexp","Brazil","N11","MANA","193x255_BZ13","Male","Cold",11.59,70.5,"Brazil - Cold"
"15","10/29/18","1/16/19",79,11.29,"endexp","Brazil","N11","MANA","193x255_BZ19","Female","Cold",10.86,71,"Brazil - Cold"
"16","10/29/18","1/16/19",79,11.29,"endexp","Brazil","N11","MANA","193x255_BZ21","Female","Cold",11.83,73,"Brazil - Cold"
"17","10/29/18","1/16/19",79,11.29,"endexp","Brazil","N11","MANA","193x255_BZ23","Female","Warm",11.79,77.5,"Brazil - Warm"
"18","11/23/18","2/2/19",71,10.14,"endexp","Brazil","N11","MANA","193x255_BZ18","Male","Warm",10.92,80,"Brazil - Warm"
"19","11/23/18","2/2/19",71,10.14,"endexp","Brazil","N11","MANA","193x255_BZ20","Male","Cold",12.29,74,"Brazil - Cold"
"20","11/23/18","2/2/19",71,10.14,"endexp","Brazil","N11","MANA","193x255_BZ25","Female","Cold",11.62,75.5,"Brazil - Cold"
"21","11/23/18","2/2/19",71,10.14,"endexp","Brazil","N11","MANA","193x255_BZ27","Female","Warm",10.87,80.5,"Brazil - Warm"
"22","11/23/18","2/2/19",71,10.14,"endexp","Brazil","N11","MANA","193x255_BZ29","Female","Cold",11.34,73,"Brazil - Cold"
"23","12/18/18","3/2/19",74,10.57,"endexp","Brazil","N11","MANA","193x255_BZ31","Female","Warm",11.61,79,"Brazil - Warm"
"24","12/18/18","3/2/19",74,10.57,"endexp","Brazil","N11","MANA","193x255_BZ33","Female","Cold",11.81,71,"Brazil - Cold"
"25","2/1/19","4/22/19",80,11.43,"endexp","Brazil","N11","MANA","193x255_BZ26","Male","Cold",12.87,72.5,"Brazil - Cold"
"26","2/1/19","4/21/19",79,11.29,"endexp","Brazil","N11","MANA","193x255_BZ28","Male","Cold",14.05,75,"Brazil - Cold"
"27","2/1/19","4/21/19",79,11.29,"endexp","Brazil","N11","MANA","193x255_BZ30","Male","Warm",14.05,83,"Brazil - Warm"
"28","7/17/18","8/18/18",32,4.57,"na","Brazil","N11","MANA","193x255_BZ1","Female","Cold",8.55,64.5,"Brazil - Cold"
"29","7/17/18","8/18/18",32,4.57,"na","Brazil","N11","MANA","193x255_BZ2","Male","Warm",8.46,62.5,"Brazil - Warm"
"30","7/17/18","8/18/18",32,4.57,"na","Brazil","N11","MANA","193x255_BZ4","Male","Warm",10.12,69,"Brazil - Warm"
"31","7/17/18","8/18/18",32,4.57,"na","Brazil","N11","MANA","193x255_BZ6","Male","Cold",9.76,65,"Brazil - Cold"
"32","7/17/18","8/25/18",39,5.57,"na","Brazil","N11","MANA","193x255_BZ1","Female","Cold",9.13,65.5,"Brazil - Cold"
"33","7/17/18","8/25/18",39,5.57,"na","Brazil","N11","MANA","193x255_BZ2","Male","Warm",9.21,67,"Brazil - Warm"
"34","7/17/18","8/25/18",39,5.57,"na","Brazil","N11","MANA","193x255_BZ4","Male","Warm",12.2,73.5,"Brazil - Warm"
"35","7/17/18","8/25/18",39,5.57,"na","Brazil","N11","MANA","193x255_BZ6","Male","Cold",10.74,66.5,"Brazil - Cold"
"36","7/17/18","9/1/18",46,6.57,"na","Brazil","N11","MANA","193x255_BZ1","Female","Cold",10.11,67.5,"Brazil - Cold"
"37","7/17/18","9/1/18",46,6.57,"na","Brazil","N11","MANA","193x255_BZ2","Male","Warm",9.02,70.5,"Brazil - Warm"
"38","7/17/18","9/1/18",46,6.57,"na","Brazil","N11","MANA","193x255_BZ4","Male","Warm",12.97,77.5,"Brazil - Warm"
"39","7/17/18","9/1/18",46,6.57,"na","Brazil","N11","MANA","193x255_BZ6","Male","Cold",11.58,71,"Brazil - Cold"
"40","7/17/18","9/9/18",54,7.71,"na","Brazil","N11","MANA","193x255_BZ1","Female","Cold",10.9,70,"Brazil - Cold"
"41","7/17/18","9/9/18",54,7.71,"na","Brazil","N11","MANA","193x255_BZ2","Male","Warm",9.78,74,"Brazil - Warm"
"42","7/17/18","9/9/18",54,7.71,"na","Brazil","N11","MANA","193x255_BZ4","Male","Warm",13.5,79,"Brazil - Warm"
"43","7/17/18","9/9/18",54,7.71,"na","Brazil","N11","MANA","193x255_BZ6","Male","Cold",11.69,71.5,"Brazil - Cold"
"44","7/17/18","9/16/18",61,8.71,"na","Brazil","N11","MANA","193x255_BZ1","Female","Cold",10.96,71,"Brazil - Cold"
"45","7/17/18","9/16/18",61,8.71,"na","Brazil","N11","MANA","193x255_BZ2","Male","Warm",10.16,74,"Brazil - Warm"
"46","7/17/18","9/16/18",61,8.71,"na","Brazil","N11","MANA","193x255_BZ4","Male","Warm",13.93,82.5,"Brazil - Warm"
"47","7/17/18","9/16/18",61,8.71,"na","Brazil","N11","MANA","193x255_BZ6","Male","Cold",11.95,73,"Brazil - Cold"
"48","7/17/18","9/23/18",68,9.71,"na","Brazil","N11","MANA","193x255_BZ1","Female","Cold",10.92,72,"Brazil - Cold"
"49","7/17/18","9/23/18",68,9.71,"na","Brazil","N11","MANA","193x255_BZ2","Male","Warm",10.18,76,"Brazil - Warm"
"50","7/17/18","9/23/18",68,9.71,"na","Brazil","N11","MANA","193x255_BZ4","Male","Warm",14.36,83,"Brazil - Warm"
"51","7/17/18","9/23/18",68,9.71,"na","Brazil","N11","MANA","193x255_BZ6","Male","Cold",11.98,73,"Brazil - Cold"
"52","8/13/18","9/14/18",32,4.57,"na","Brazil","N11","MANA","193x255_BZ3","Female","Cold",8.31,65,"Brazil - Cold"
"53","8/13/18","9/14/18",32,4.57,"na","Brazil","N11","MANA","193x255_BZ5","Female","Warm",7.22,61.5,"Brazil - Warm"
"54","8/13/18","9/14/18",32,4.57,"na","Brazil","N11","MANA","193x255_BZ7","Female","Warm",9.7,71.5,"Brazil - Warm"
"55","8/13/18","9/14/18",32,4.57,"na","Brazil","N11","MANA","193x255_BZ8","Male","Cold",9.66,67,"Brazil - Cold"
"56","8/13/18","9/14/18",32,4.57,"na","Brazil","N11","MANA","193x255_BZ9","Female","Warm",9.46,70.5,"Brazil - Warm"
"57","8/13/18","9/22/18",40,5.71,"na","Brazil","N11","MANA","193x255_BZ3","Female","Cold",9.65,67.5,"Brazil - Cold"
"58","8/13/18","9/22/18",40,5.71,"na","Brazil","N11","MANA","193x255_BZ5","Female","Warm",8.21,66.5,"Brazil - Warm"
"59","8/13/18","9/22/18",40,5.71,"na","Brazil","N11","MANA","193x255_BZ7","Female","Warm",11.33,76.5,"Brazil - Warm"
"60","8/13/18","9/22/18",40,5.71,"na","Brazil","N11","MANA","193x255_BZ8","Male","Cold",11.28,70.5,"Brazil - Cold"
"61","8/13/18","9/22/18",40,5.71,"na","Brazil","N11","MANA","193x255_BZ9","Female","Warm",10.81,75.5,"Brazil - Warm"
"62","8/13/18","9/28/18",46,6.57,"na","Brazil","N11","MANA","193x255_BZ3","Female","Cold",10.13,68.5,"Brazil - Cold"
"63","8/13/18","9/28/18",46,6.57,"na","Brazil","N11","MANA","193x255_BZ5","Female","Warm",8.64,69,"Brazil - Warm"
"64","8/13/18","9/28/18",46,6.57,"na","Brazil","N11","MANA","193x255_BZ7","Female","Warm",11.56,77,"Brazil - Warm"
"65","8/13/18","9/28/18",46,6.57,"na","Brazil","N11","MANA","193x255_BZ8","Male","Cold",11.78,71,"Brazil - Cold"
"66","8/13/18","9/28/18",46,6.57,"na","Brazil","N11","MANA","193x255_BZ9","Female","Warm",10.84,76,"Brazil - Warm"
"67","8/13/18","10/6/18",54,7.71,"na","Brazil","N11","MANA","193x255_BZ3","Female","Cold",10.51,69.5,"Brazil - Cold"
"68","8/13/18","10/6/18",54,7.71,"na","Brazil","N11","MANA","193x255_BZ5","Female","Warm",9.57,71,"Brazil - Warm"
"69","8/13/18","10/6/18",54,7.71,"na","Brazil","N11","MANA","193x255_BZ7","Female","Warm",12.28,79.5,"Brazil - Warm"
"70","8/13/18","10/6/18",54,7.71,"na","Brazil","N11","MANA","193x255_BZ8","Male","Cold",11.82,73,"Brazil - Cold"
"71","8/13/18","10/6/18",54,7.71,"na","Brazil","N11","MANA","193x255_BZ9","Female","Warm",11.2,76,"Brazil - Warm"
"72","8/13/18","10/12/18",60,8.57,"na","Brazil","N11","MANA","193x255_BZ3","Female","Cold",10.47,71.5,"Brazil - Cold"
"73","8/13/18","10/12/18",60,8.57,"na","Brazil","N11","MANA","193x255_BZ5","Female","Warm",9.26,72,"Brazil - Warm"
"74","8/13/18","10/12/18",60,8.57,"na","Brazil","N11","MANA","193x255_BZ7","Female","Warm",11.88,79.5,"Brazil - Warm"
"75","8/13/18","10/12/18",60,8.57,"na","Brazil","N11","MANA","193x255_BZ8","Male","Cold",12.27,74,"Brazil - Cold"
"76","8/13/18","10/12/18",60,8.57,"na","Brazil","N11","MANA","193x255_BZ9","Female","Warm",11.01,79,"Brazil - Warm"
"77","8/13/18","10/19/18",67,9.57,"na","Brazil","N11","MANA","193x255_BZ3","Female","Cold",10.94,72,"Brazil - Cold"
"78","8/13/18","10/19/18",67,9.57,"na","Brazil","N11","MANA","193x255_BZ5","Female","Warm",9.69,74.5,"Brazil - Warm"
"79","8/13/18","10/19/18",67,9.57,"na","Brazil","N11","MANA","193x255_BZ7","Female","Warm",12.14,80,"Brazil - Warm"
"80","8/13/18","10/19/18",67,9.57,"na","Brazil","N11","MANA","193x255_BZ8","Male","Cold",12.52,75.5,"Brazil - Cold"
"81","8/13/18","10/19/18",67,9.57,"na","Brazil","N11","MANA","193x255_BZ9","Female","Warm",11.63,79,"Brazil - Warm"
"82","9/8/18","10/10/18",32,4.57,"na","Brazil","N11","MANA","193x255_BZ11","Female","Warm",8.56,67.5,"Brazil - Warm"
"83","9/8/18","10/17/18",39,5.57,"na","Brazil","N11","MANA","193x255_BZ11","Female","Warm",9.85,71,"Brazil - Warm"
"84","9/8/18","10/24/18",46,6.57,"na","Brazil","N11","MANA","193x255_BZ11","Female","Warm",10.12,73.5,"Brazil - Warm"
"85","9/8/18","10/31/18",53,7.57,"na","Brazil","N11","MANA","193x255_BZ11","Female","Warm",10.54,76,"Brazil - Warm"
"86","9/8/18","11/7/18",60,8.57,"na","Brazil","N11","MANA","193x255_BZ11","Female","Warm",10.75,77,"Brazil - Warm"
"87","9/8/18","11/14/18",67,9.57,"na","Brazil","N11","MANA","193x255_BZ11","Female","Warm",10.92,78,"Brazil - Warm"
"88","9/8/18","10/10/18",32,4.57,"na","Brazil","N11","MANA","193x255_BZ10","Male","Warm",9.75,64.5,"Brazil - Warm"
"89","9/8/18","10/17/18",39,5.57,"na","Brazil","N11","MANA","193x255_BZ10","Male","Warm",11.11,70,"Brazil - Warm"
"90","9/8/18","10/24/18",46,6.57,"na","Brazil","N11","MANA","193x255_BZ10","Male","Warm",11.76,73.5,"Brazil - Warm"
"91","9/8/18","10/31/18",53,7.57,"na","Brazil","N11","MANA","193x255_BZ10","Male","Warm",12.32,75.5,"Brazil - Warm"
"92","9/8/18","11/7/18",60,8.57,"na","Brazil","N11","MANA","193x255_BZ10","Male","Warm",12.27,77,"Brazil - Warm"
"93","9/8/18","11/14/18",67,9.57,"na","Brazil","N11","MANA","193x255_BZ10","Male","Warm",12.56,78.5,"Brazil - Warm"
"94","9/8/18","10/10/18",32,4.57,"na","Brazil","N11","MANA","193x255_BZ12","Male","Cold",8.89,64,"Brazil - Cold"
"95","9/8/18","10/17/18",39,5.57,"na","Brazil","N11","MANA","193x255_BZ12","Male","Cold",10.8,67,"Brazil - Cold"
"96","9/8/18","10/24/18",46,6.57,"na","Brazil","N11","MANA","193x255_BZ12","Male","Cold",11.41,70,"Brazil - Cold"
"97","9/8/18","10/31/18",53,7.57,"na","Brazil","N11","MANA","193x255_BZ12","Male","Cold",11.64,70.5,"Brazil - Cold"
"98","9/8/18","11/7/18",60,8.57,"na","Brazil","N11","MANA","193x255_BZ12","Male","Cold",12.08,72.5,"Brazil - Cold"
"99","9/8/18","11/14/18",67,9.57,"na","Brazil","N11","MANA","193x255_BZ12","Male","Cold",12.55,73,"Brazil - Cold"
"100","9/8/18","10/10/18",32,4.57,"na","Brazil","N11","MANA","193x255_BZ14","Male","Warm",7.6,64,"Brazil - Warm"
"101","9/8/18","10/17/18",39,5.57,"na","Brazil","N11","MANA","193x255_BZ14","Male","Warm",8.96,67,"Brazil - Warm"
"102","9/8/18","10/24/18",46,6.57,"na","Brazil","N11","MANA","193x255_BZ14","Male","Warm",9.7,70,"Brazil - Warm"
"103","9/8/18","10/31/18",53,7.57,"na","Brazil","N11","MANA","193x255_BZ14","Male","Warm",10.58,75.5,"Brazil - Warm"
"104","9/8/18","11/7/18",60,8.57,"na","Brazil","N11","MANA","193x255_BZ14","Male","Warm",10.99,76,"Brazil - Warm"
"105","9/8/18","11/14/18",67,9.57,"na","Brazil","N11","MANA","193x255_BZ14","Male","Warm",10.98,76,"Brazil - Warm"
"106","9/8/18","10/10/18",32,4.57,"na","Brazil","N11","MANA","193x255_BZ13","Male","Cold",7.5,59,"Brazil - Cold"
"107","9/8/18","10/17/18",39,5.57,"na","Brazil","N11","MANA","193x255_BZ13","Male","Cold",8.98,62,"Brazil - Cold"
"108","9/8/18","10/24/18",46,6.57,"na","Brazil","N11","MANA","193x255_BZ13","Male","Cold",9.79,64.5,"Brazil - Cold"
"109","9/8/18","10/31/18",53,7.57,"na","Brazil","N11","MANA","193x255_BZ13","Male","Cold",10.26,66.5,"Brazil - Cold"
"110","9/8/18","11/7/18",60,8.57,"na","Brazil","N11","MANA","193x255_BZ13","Male","Cold",10.74,68,"Brazil - Cold"
"111","9/8/18","11/14/18",67,9.57,"na","Brazil","N11","MANA","193x255_BZ13","Male","Cold",11.26,70,"Brazil - Cold"
"112","10/29/18","12/2/18",34,4.86,"na","Brazil","N11","MANA","193x255_BZ19","Female","Cold",8.72,64.5,"Brazil - Cold"
"113","10/29/18","12/16/18",48,6.86,"na","Brazil","N11","MANA","193x255_BZ19","Female","Cold",9.94,67.5,"Brazil - Cold"
"114","10/29/18","12/29/18",61,8.71,"na","Brazil","N11","MANA","193x255_BZ19","Female","Cold",10.03,70,"Brazil - Cold"
"115","10/29/18","1/10/19",73,10.43,"na","Brazil","N11","MANA","193x255_BZ19","Female","Cold",10.72,NA,"Brazil - Cold"
"116","10/29/18","12/2/18",34,4.86,"na","Brazil","N11","MANA","193x255_BZ21","Female","Cold",9.26,65,"Brazil - Cold"
"117","10/29/18","12/16/18",48,6.86,"na","Brazil","N11","MANA","193x255_BZ21","Female","Cold",11.85,70.5,"Brazil - Cold"
"118","10/29/18","12/29/18",61,8.71,"na","Brazil","N11","MANA","193x255_BZ21","Female","Cold",11.32,72.5,"Brazil - Cold"
"119","10/29/18","1/10/19",73,10.43,"na","Brazil","N11","MANA","193x255_BZ21","Female","Cold",11.91,NA,"Brazil - Cold"
"120","10/29/18","12/2/18",34,4.86,"na","Brazil","N11","MANA","193x255_BZ23","Female","Warm",9.22,66.5,"Brazil - Warm"
"121","10/29/18","12/16/18",48,6.86,"na","Brazil","N11","MANA","193x255_BZ23","Female","Warm",11.13,73.5,"Brazil - Warm"
"122","10/29/18","12/29/18",61,8.71,"na","Brazil","N11","MANA","193x255_BZ23","Female","Warm",11.63,77,"Brazil - Warm"
"123","10/29/18","1/10/19",73,10.43,"na","Brazil","N11","MANA","193x255_BZ23","Female","Warm",11.44,NA,"Brazil - Warm"
"124","11/23/18","1/1/19",39,5.57,"na","Brazil","N11","MANA","193x255_BZ18","Male","Warm",9.76,70,"Brazil - Warm"
"125","11/23/18","1/9/19",47,6.71,"na","Brazil","N11","MANA","193x255_BZ18","Male","Warm",10.31,75.5,"Brazil - Warm"
"126","11/23/18","1/16/19",54,7.71,"na","Brazil","N11","MANA","193x255_BZ18","Male","Warm",10.38,75.5,"Brazil - Warm"
"127","11/23/18","1/31/19",69,9.86,"na","Brazil","N11","MANA","193x255_BZ18","Male","Warm",10.91,NA,"Brazil - Warm"
"128","11/23/18","1/1/19",39,5.57,"na","Brazil","N11","MANA","193x255_BZ20","Male","Cold",11.28,68,"Brazil - Cold"
"129","11/23/18","1/9/19",47,6.71,"na","Brazil","N11","MANA","193x255_BZ20","Male","Cold",11.2,69,"Brazil - Cold"
"130","11/23/18","1/16/19",54,7.71,"na","Brazil","N11","MANA","193x255_BZ20","Male","Cold",11.35,72.5,"Brazil - Cold"
"131","11/23/18","1/31/19",69,9.86,"na","Brazil","N11","MANA","193x255_BZ20","Male","Cold",12.18,NA,"Brazil - Cold"
"132","11/23/18","1/1/19",39,5.57,"na","Brazil","N11","MANA","193x255_BZ25","Female","Cold",10.54,67.5,"Brazil - Cold"
"133","11/23/18","1/9/19",47,6.71,"na","Brazil","N11","MANA","193x255_BZ25","Female","Cold",11.13,72,"Brazil - Cold"
"134","11/23/18","1/16/19",54,7.71,"na","Brazil","N11","MANA","193x255_BZ25","Female","Cold",10.92,73.5,"Brazil - Cold"
"135","11/23/18","1/31/19",69,9.86,"na","Brazil","N11","MANA","193x255_BZ25","Female","Cold",11.72,NA,"Brazil - Cold"
"136","11/23/18","1/1/19",39,5.57,"na","Brazil","N11","MANA","193x255_BZ27","Female","Warm",10.01,74,"Brazil - Warm"
"137","11/23/18","1/9/19",47,6.71,"na","Brazil","N11","MANA","193x255_BZ27","Female","Warm",11.16,77.5,"Brazil - Warm"
"138","11/23/18","1/16/19",54,7.71,"na","Brazil","N11","MANA","193x255_BZ27","Female","Warm",11.63,78,"Brazil - Warm"
"139","11/23/18","1/31/19",69,9.86,"na","Brazil","N11","MANA","193x255_BZ27","Female","Warm",11.66,NA,"Brazil - Warm"
"140","11/23/18","1/1/19",39,5.57,"na","Brazil","N11","MANA","193x255_BZ29","Female","Cold",9.89,NA,"Brazil - Cold"
"141","11/23/18","1/9/19",47,6.71,"na","Brazil","N11","MANA","193x255_BZ29","Female","Cold",10.83,NA,"Brazil - Cold"
"142","11/23/18","1/16/19",54,7.71,"na","Brazil","N11","MANA","193x255_BZ29","Female","Cold",10.67,NA,"Brazil - Cold"
"143","11/23/18","1/31/19",69,9.86,"na","Brazil","N11","MANA","193x255_BZ29","Female","Cold",11.53,NA,"Brazil - Cold"
"144","12/18/18","1/21/19",34,4.86,"na","Brazil","N11","MANA","193x255_BZ31","Female","Warm",8.66,70.5,"Brazil - Warm"
"145","12/18/18","1/26/19",39,5.57,"na","Brazil","N11","MANA","193x255_BZ31","Female","Warm",9.4,73.5,"Brazil - Warm"
"146","12/18/18","2/2/19",46,6.57,"na","Brazil","N11","MANA","193x255_BZ31","Female","Warm",9.43,74.5,"Brazil - Warm"
"147","12/18/18","2/16/19",60,8.57,"na","Brazil","N11","MANA","193x255_BZ31","Female","Warm",10.12,75.5,"Brazil - Warm"
"148","12/18/18","2/25/19",69,9.86,"na","Brazil","N11","MANA","193x255_BZ31","Female","Warm",11.71,76,"Brazil - Warm"
"149","12/18/18","1/21/19",34,4.86,"na","Brazil","N11","MANA","193x255_BZ33","Female","Cold",9.75,65,"Brazil - Cold"
"150","12/18/18","1/26/19",39,5.57,"na","Brazil","N11","MANA","193x255_BZ33","Female","Cold",10.33,66.5,"Brazil - Cold"
"151","12/18/18","2/2/19",46,6.57,"na","Brazil","N11","MANA","193x255_BZ33","Female","Cold",10.29,70,"Brazil - Cold"
"152","12/18/18","2/16/19",60,8.57,"na","Brazil","N11","MANA","193x255_BZ33","Female","Cold",11.68,NA,"Brazil - Cold"
"153","12/18/18","2/25/19",69,9.86,"na","Brazil","N11","MANA","193x255_BZ33","Female","Cold",11.11,NA,"Brazil - Cold"
"154","2/1/19","3/5/19",32,4.57,"na","Brazil","N11","MANA","193x255_BZ26","Male","Cold",8.68,65.5,"Brazil - Cold"
"155","2/1/19","3/14/19",41,5.86,"na","Brazil","N11","MANA","193x255_BZ26","Male","Cold",10.3,67,"Brazil - Cold"
"156","2/1/19","3/26/19",53,7.57,"na","Brazil","N11","MANA","193x255_BZ26","Male","Cold",11.47,72,"Brazil - Cold"
"157","2/1/19","4/2/19",60,8.57,"na","Brazil","N11","MANA","193x255_BZ26","Male","Cold",12.18,72,"Brazil - Cold"
"158","2/1/19","4/18/19",76,10.86,"na","Brazil","N11","MANA","193x255_BZ26","Male","Cold",12.12,NA,"Brazil - Cold"
"159","2/1/19","3/5/19",32,4.57,"na","Brazil","N11","MANA","193x255_BZ28","Male","Cold",9.5,65,"Brazil - Cold"
"160","2/1/19","3/14/19",41,5.86,"na","Brazil","N11","MANA","193x255_BZ28","Male","Cold",11.11,68.5,"Brazil - Cold"
"161","2/1/19","3/26/19",53,7.57,"na","Brazil","N11","MANA","193x255_BZ28","Male","Cold",11.86,71,"Brazil - Cold"
"162","2/1/19","4/2/19",60,8.57,"na","Brazil","N11","MANA","193x255_BZ28","Male","Cold",12.82,74.5,"Brazil - Cold"
"163","2/1/19","4/18/19",76,10.86,"na","Brazil","N11","MANA","193x255_BZ28","Male","Cold",13.88,NA,"Brazil - Cold"
"164","2/1/19","3/5/19",32,4.57,"na","Brazil","N11","MANA","193x255_BZ30","Male","Warm",9.79,71.5,"Brazil - Warm"
"165","2/1/19","3/14/19",41,5.86,"na","Brazil","N11","MANA","193x255_BZ30","Male","Warm",11.06,76.5,"Brazil - Warm"
